ProblemType:	CARP
NumberNodes:	375
NumberEdges:	412
DepotNodeNumber:	10
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	10917	0	1	120	119	1
1	10918	2	3	428	162	1
2	10919	4	5	428	162	1
3	10920	6	7	164	162	1
4	10941	8	9	109	204	1
5	10967	10	11	362	340	1
6	10974	12	13	335	162	1
7	10997	14	15	5	0	0
8	10998	15	16	123	204	1
9	11003	17	18	33	162	1
10	11129	19	20	90	1097	6
11	11130	20	21	25	485	3
12	11131	22	23	18	0	0
13	11138	23	24	33	689	4
14	11147	25	26	51	162	1
15	11149	27	28	159	162	1
16	11150	20	29	75	544	2
17	11151	19	30	52	646	4
18	11153	31	32	40	255	2
19	11173	24	33	20	0	0
20	11175	33	34	29	323	2
21	11176	34	35	7	162	1
22	11196	36	37	52	323	2
23	11201	38	37	81	0	0
24	11202	37	39	33	0	0
25	11206	40	41	56	162	1
26	11212	42	43	112	119	1
27	11252	41	36	19	162	1
28	11254	44	45	65	162	1
29	11277	45	46	173	0	0
30	11357	47	48	204	0	0
31	11358	49	50	209	162	1
32	11404	39	0	164	204	1
33	11473	49	51	59	323	2
34	11481	52	53	35	366	2
35	11483	54	55	46	0	0
36	11484	56	57	95	204	1
37	11525	58	59	64	646	4
38	11561	60	44	309	162	1
39	11562	55	61	77	485	3
40	11627	62	63	290	340	1
41	11630	64	65	30	0	0
42	11632	63	66	136	0	0
43	11660	67	68	29	0	0
44	11698	69	70	187	485	3
45	11745	71	72	70	0	0
46	11746	72	73	139	323	2
47	11759	74	75	637	0	0
48	11760	11	76	578	0	0
49	11761	77	78	92	204	1
50	11778	79	80	303	324	2
51	11779	81	80	134	162	1
52	11863	82	78	636	1021	3
53	11866	83	84	384	162	1
54	11868	85	86	21	162	1
55	11869	87	88	253	0	0
56	11870	89	90	125	3230	14
57	11871	90	91	93	1420	7
58	11873	92	93	530	162	1
59	11874	94	92	287	442	3
60	11875	95	96	206	689	4
61	11876	97	98	484	0	0
62	11921	99	100	461	485	3
63	11944	101	102	540	808	5
64	11945	101	84	349	0	0
65	12001	103	104	25	323	2
66	12002	105	106	45	162	1
67	12003	78	107	428	459	2
68	12004	108	109	52	0	0
69	12006	110	111	47	162	1
70	12007	111	112	412	442	3
71	12080	113	114	711	204	1
72	12081	114	115	6	0	0
73	12086	116	117	3	0	0
74	12087	117	118	695	323	2
75	12088	119	108	56	0	0
76	12090	120	121	28	162	1
77	12120	122	123	85	646	4
78	12123	54	124	480	646	4
79	12124	124	125	5	0	0
80	12125	54	126	88	162	1
81	12126	126	127	5	0	0
82	12133	128	129	56	204	1
83	12134	129	130	64	94	1
84	12135	131	132	191	0	0
85	12137	133	134	112	528	2
86	12138	134	110	5	0	0
87	12147	136	137	121	162	1
88	12148	137	138	5	0	0
89	12154	107	140	50	162	1
90	12155	140	122	225	1216	7
91	12156	121	141	26	162	1
92	12157	141	128	45	323	2
93	12170	48	50	13	0	0
94	12227	142	65	69	0	0
95	12411	143	144	263	0	0
96	12412	145	7	88	162	1
97	12416	92	25	19	0	0
98	12417	25	42	77	0	0
99	12424	146	19	61	570	3
100	12425	147	31	34	0	0
101	12426	31	148	107	0	0
102	12429	149	150	36	323	2
103	12430	150	151	35	162	1
104	12432	152	153	44	1122	2
105	12435	154	27	246	119	1
106	12436	27	155	188	646	4
107	12442	80	157	165	162	1
108	12448	43	158	296	204	1
109	12451	159	48	17	323	2
110	12460	153	160	42	162	1
111	12461	161	162	32	0	0
112	12462	162	163	57	910	4
113	12463	162	164	60	204	1
114	12464	164	165	80	1411	6
115	12465	164	166	58	0	0
116	12466	166	167	114	935	5
117	12723	168	169	395	323	2
118	12724	170	171	25	0	0
119	12726	171	172	584	162	1
120	12728	173	174	263	162	1
121	12729	173	175	885	663	3
122	12762	176	177	74	162	1
123	12775	104	178	141	1513	8
124	12776	179	180	117	1743	10
125	12777	181	179	60	527	3
126	12805	182	183	125	0	0
127	12860	184	185	37	0	0
128	12861	185	186	99	366	2
129	12887	152	161	9	0	0
130	12888	161	181	73	0	0
131	12895	100	187	88	0	0
132	12896	188	189	317	162	1
133	12898	155	190	828	485	3
134	12918	191	169	242	162	1
135	12919	169	77	314	0	0
136	12929	192	193	104	0	0
137	12936	130	194	75	0	0
138	12938	194	195	115	162	1
139	12939	193	196	15	502	2
140	12941	14	197	175	204	1
141	12957	198	199	169	2754	16
142	13001	183	200	254	0	0
143	13002	183	201	143	0	0
144	13015	202	176	881	1131	7
145	13016	176	203	45	162	1
146	13017	204	205	75	527	3
147	13018	206	204	75	162	1
148	13019	204	207	62	0	0
149	13020	38	208	66	0	0
150	13021	192	209	340	162	1
151	13022	209	40	20	0	0
152	13023	40	208	111	323	2
153	13024	208	210	446	689	4
154	13025	209	189	398	0	0
155	13026	189	211	249	527	3
156	13027	212	213	71	204	1
157	13028	213	214	92	204	1
158	13029	215	216	82	646	4
159	13030	217	181	56	162	1
160	13031	74	211	165	1743	10
161	13032	218	212	152	0	0
162	13033	212	219	99	646	4
163	13034	219	133	228	2567	4
164	13035	218	217	270	2763	16
165	13036	217	220	28	162	1
166	13037	220	221	47	323	2
167	13038	222	215	92	782	5
168	13039	215	223	116	969	6
169	13040	219	224	101	969	6
170	13041	224	221	92	646	4
171	13042	224	133	358	4009	29
172	13056	225	148	71	162	1
173	13067	226	227	481	0	0
174	13068	227	228	101	162	1
175	13069	228	229	238	774	4
176	13070	229	230	355	162	1
177	13071	96	231	71	808	5
178	13072	231	232	97	689	4
179	13073	232	233	116	323	2
180	13074	234	235	414	0	0
181	13075	190	144	22	0	0
182	13076	144	233	102	0	0
183	13078	236	237	40	162	1
184	13079	238	239	52	808	5
185	13080	240	241	61	323	2
186	13081	242	243	207	366	2
187	13082	66	244	185	502	2
188	13083	245	246	57	485	3
189	13084	247	248	82	1768	5
190	13085	226	249	321	689	4
191	13086	249	247	241	1224	8
192	13087	142	243	71	544	2
193	13105	203	250	78	485	3
194	13108	250	71	72	162	1
195	13109	206	251	59	0	0
196	13141	202	210	319	0	0
197	13153	252	253	133	162	1
198	13154	254	255	170	162	1
199	13155	187	256	48	162	1
200	13176	257	258	324	1377	8
201	13178	259	260	190	0	0
202	13179	75	131	865	1386	9
203	13194	213	261	278	1573	10
204	13195	261	133	46	0	0
205	13196	184	223	50	884	3
206	13197	223	110	297	3978	24
207	13198	222	120	158	1743	10
208	13199	186	262	299	0	0
209	13200	186	263	291	323	2
210	13201	264	265	384	162	1
211	13202	265	252	243	323	2
212	13203	264	266	110	0	0
213	13204	76	88	287	162	1
214	13205	267	268	282	0	0
