ProblemType:	CARP
NumberNodes:	451
NumberEdges:	499
DepotNodeNumber:	41
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	138	0	1	22	1811	17
1	143	2	3	119	0	0
2	146	4	5	65	791	7
3	147	6	7	27	340	1
4	148	7	8	10	0	0
5	149	9	10	10	94	1
6	154	11	12	39	2754	4
7	155	13	14	10	187	2
8	156	14	15	37	94	1
9	164	5	16	30	187	2
10	165	16	17	17	187	2
11	166	18	19	98	1887	7
12	167	19	20	19	0	0
13	168	21	22	12	0	0
14	169	22	23	33	204	1
15	172	24	25	131	1751	7
16	173	25	26	9	0	0
17	174	26	27	16	204	1
18	175	27	28	77	3179	12
19	302	13	29	64	3060	3
20	303	30	31	6	0	0
21	304	31	32	9	187	2
22	305	1	33	48	375	4
23	306	33	8	24	374	4
24	307	34	35	7	0	0
25	308	35	36	32	187	2
26	309	36	37	6	0	0
27	310	37	9	34	468	5
28	336	38	39	624	0	0
29	338	29	40	17	680	1
30	339	40	11	54	1913	4
31	496	41	42	385	187	2
32	497	43	44	97	408	1
33	498	45	46	86	204	1
34	518	47	48	183	323	2
35	772	49	50	29	0	0
36	773	51	52	4	0	0
37	774	52	53	80	502	3
38	775	54	55	76	119	1
39	776	55	56	68	417	3
40	777	57	58	75	298	2
41	778	59	60	3	562	3
42	779	60	61	32	374	2
43	780	61	62	108	621	4
44	849	63	64	85	0	0
45	852	64	65	116	0	0
46	853	66	67	48	282	2
47	854	67	68	318	0	0
48	955	67	69	38	408	1
49	974	70	71	33	204	1
50	1009	72	73	38	204	1
51	1010	64	74	42	94	1
52	1011	65	75	107	408	1
53	1047	76	72	54	298	2
54	1076	77	49	33	187	2
55	1106	78	79	34	188	1
56	1107	79	80	120	306	3
57	1254	81	82	19	204	1
58	1577	38	83	662	0	0
59	1585	84	85	185	0	0
60	1586	85	82	53	0	0
61	1646	86	87	590	204	1
62	1647	87	88	207	0	0
63	1648	87	89	463	238	1
64	1869	90	91	37	204	1
65	1870	91	92	76	536	4
66	1871	91	93	32	400	4
67	1891	94	95	20	0	0
68	1892	94	96	11	0	0
69	1893	94	97	111	204	1
70	1910	98	99	44	442	2
71	2076	100	45	122	213	2
72	2077	45	101	65	485	4
73	2079	102	43	242	2168	12
74	2080	43	103	34	0	0
75	2109	104	105	49	621	4
76	2112	106	107	56	690	3
77	2122	108	109	49	0	0
78	2166	110	111	288	204	1
79	2199	70	111	196	0	0
80	2200	111	38	11	0	0
81	2359	112	113	186	0	0
82	2361	41	114	93	0	0
83	2362	47	115	155	204	1
84	2363	116	117	50	714	2
85	2413	118	119	19	282	2
86	2414	103	120	58	595	4
87	2415	121	122	29	187	2
88	2416	121	123	117	1293	8
89	2417	103	124	68	935	4
90	2418	125	84	372	204	1
91	2419	85	117	38	0	0
92	2420	117	126	44	0	0
93	2421	127	128	726	1471	11
