ProblemType:	CARP
NumberNodes:	351
NumberEdges:	451
DepotNodeNumber:	105
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	645	0	1	98	272	2
1	651	2	3	15	4052	12
2	652	4	5	50	0	0
3	653	6	7	56	111	1
4	654	8	9	23	0	0
5	655	10	8	18	0	0
6	656	9	11	33	0	0
7	670	12	13	60	3488	17
8	671	14	15	94	0	0
9	674	16	17	39	1598	14
10	675	18	19	46	1326	12
11	677	20	21	12	0	0
12	707	22	23	246	0	0
13	708	24	25	110	0	0
14	863	5	26	9	0	0
15	1142	21	27	9	0	0
16	1143	28	20	10	0	0
17	1144	27	28	13	0	0
18	1166	29	30	136	3952	12
19	1220	31	32	175	16146	78
20	1221	31	33	102	2585	16
21	1222	34	31	95	10906	19
22	1223	35	36	113	3179	16
23	1224	37	35	34	986	8
24	1225	38	39	66	2040	10
25	1226	40	39	95	3665	18
26	1227	39	41	68	2890	5
27	1347	42	43	92	4100	18
28	1352	44	45	42	0	0
29	1410	46	47	22	0	0
30	1411	48	49	21	0	0
31	1434	50	51	213	3630	66
32	1445	52	53	62	3400	5
33	1446	54	55	63	0	0
34	1447	56	54	39	3865	8
35	1448	57	58	94	3940	25
36	1449	59	58	112	5705	39
37	1450	58	60	117	4635	12
38	1451	61	52	67	663	6
39	1452	62	63	58	0	0
40	1453	64	65	61	1650	7
41	1454	44	64	72	3910	29
42	1455	66	64	53	3506	8
43	1456	66	67	122	3950	15
44	1457	68	59	80	4030	35
45	1458	69	70	26	323	2
46	1459	71	72	60	510	1
47	1460	50	71	42	111	1
48	1461	33	69	142	5514	47
49	1462	73	33	73	1301	10
50	1463	69	74	74	1080	8
51	1464	32	70	78	969	6
52	1465	75	76	42	0	0
53	1466	77	78	68	3655	9
54	1467	79	80	46	4134	11
55	1919	81	82	44	1870	4
56	1920	83	84	135	6300	49
57	1921	85	86	98	4040	8
58	1922	87	88	42	0	0
59	1923	89	90	81	4055	27
60	1925	91	92	112	17906	25
61	1926	93	94	85	2040	4
62	1927	91	95	62	0	0
63	1928	96	97	142	3625	56
64	1930	98	96	74	1360	2
65	1931	99	100	78	3841	10
66	1932	101	102	32	680	1
67	1933	103	104	40	493	4
68	1934	105	106	33	2312	5
