ProblemType:	CARP
NumberNodes:	761
NumberEdges:	852
DepotNodeNumber:	288
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	90	383	3
1	1	0	2	124	680	4
2	2	3	4	113	689	4
3	3	5	6	31	162	1
4	4	7	5	93	1114	6
5	6	8	9	50	544	4
6	7	3	10	99	323	2
7	8	11	12	66	799	5
8	9	13	14	120	1811	11
9	10	15	16	94	1029	7
10	12	17	18	108	1063	7
11	13	19	20	59	485	3
12	14	21	22	55	1981	12
13	15	23	24	143	0	0
14	16	25	0	97	1343	7
15	17	26	25	100	485	3
16	18	1	26	99	689	4
17	19	1	27	41	833	5
18	53	28	29	190	2865	20
19	54	30	31	35	0	0
20	55	32	30	36	162	1
21	57	35	36	51	1207	7
22	58	37	38	32	6920	2
23	59	39	40	16	366	2
24	60	41	42	74	323	2
25	61	43	44	37	765	4
26	62	45	46	10	408	2
27	63	47	48	379	655	5
28	64	46	42	203	111	1
29	67	50	51	79	162	1
30	69	53	54	37	204	1
31	70	54	55	58	816	4
32	71	53	56	37	315	2
33	77	57	58	21	162	1
34	78	59	57	34	476	3
35	90	60	61	101	0	0
36	91	60	62	50	162	1
37	92	63	64	168	1777	12
38	96	57	67	240	859	6
39	97	68	67	17	0	0
40	98	69	70	48	162	1
41	99	71	70	32	383	3
42	100	70	72	6	0	0
43	101	72	73	42	315	2
44	102	72	74	30	272	2
45	103	74	75	44	587	4
46	104	73	76	24	332	3
47	105	77	78	84	442	4
48	106	79	80	54	587	4
49	107	79	81	52	638	4
50	108	82	79	35	323	2
51	110	83	84	29	1054	7
52	111	85	86	32	383	3
53	112	87	56	56	204	1
54	113	69	87	8	0	0
55	114	74	88	22	655	5
56	115	54	89	47	544	4
57	116	90	35	51	680	4
58	117	91	92	4	111	1
59	118	93	92	64	162	1
60	119	91	94	108	638	4
61	120	15	94	102	221	2
62	121	95	61	112	510	1
63	122	96	97	188	0	0
64	123	97	98	100	995	4
65	124	99	90	51	0	0
66	125	100	101	115	1938	9
67	152	102	103	6	0	0
68	153	104	105	43	383	3
69	154	106	107	23	485	3
70	155	107	108	9	162	1
71	156	109	110	17	1343	9
72	157	111	112	52	850	5
73	159	102	113	39	323	2
74	160	102	115	75	595	4
75	161	116	115	39	323	2
76	162	115	112	22	162	1
77	163	112	117	44	1301	7
78	164	118	119	446	1182	6
79	165	120	121	9	0	0
80	166	122	123	33	111	1
81	167	122	124	41	425	3
82	168	125	68	63	111	1
83	169	126	127	38	3400	5
84	170	128	129	111	918	6
85	171	128	130	37	0	0
86	172	131	128	60	0	0
87	173	132	133	106	1071	7
88	174	133	80	42	272	2
89	175	130	134	10	0	0
90	176	86	135	63	221	2
91	177	136	135	7	111	1
92	178	135	33	25	162	1
93	179	137	53	52	1233	8
94	180	138	87	102	646	4
95	181	139	140	56	111	1
96	191	141	142	852	774	4
97	452	143	144	68	162	1
98	453	145	103	115	723	4
99	454	146	147	85	2533	12
100	455	104	107	46	0	0
101	456	148	149	56	383	3
102	463	150	83	91	1046	9
103	464	151	84	76	1794	13
104	610	152	153	103	4778	39
105	712	41	154	8	0	0
106	713	38	155	9	0	0
107	714	155	41	12	0	0
108	715	154	38	8	0	0
109	823	156	157	19	0	0
110	824	157	158	16	0	0
111	825	158	156	35	0	0
112	854	160	161	83	4631	46
113	862	162	163	90	4165	12
114	868	164	165	27	0	0
115	869	165	166	707	1360	2
116	870	167	168	125	0	0
117	871	168	169	164	0	0
118	872	169	170	163	0	0
119	873	170	167	124	0	0
120	874	170	168	11	0	0
121	875	171	172	101	0	0
122	876	172	173	159	0	0
123	877	173	174	159	0	0
124	878	174	171	101	0	0
125	879	174	172	8	0	0
126	880	175	176	71	0	0
127	884	177	175	71	0	0
128	885	177	176	7	0	0
129	886	178	179	49	0	0
130	903	182	183	115	0	0
131	904	183	184	115	0	0
132	905	184	181	84	0	0
133	906	182	184	8	0	0
134	1043	68	78	36	587	4
135	1044	123	121	36	383	3
136	1046	185	186	24	0	0
137	1048	187	133	122	272	2
138	1049	188	83	71	2771	20
139	1050	186	189	52	0	0
140	1058	190	82	7	162	1
141	1063	191	192	120	901	6
142	1064	193	191	107	1692	13
143	1065	194	195	13	272	2
144	1066	196	194	41	714	6
145	1067	197	65	100	1233	8
146	1068	197	196	82	544	4
147	1069	196	191	57	323	2
148	1071	198	199	12	111	1
149	1072	200	201	46	0	0
150	1073	202	201	61	0	0
151	1075	203	200	37	510	1
152	1076	204	205	79	587	4
153	1077	206	204	115	1360	8
154	1078	207	208	94	544	4
155	1079	209	208	36	689	4
156	1080	210	211	11	340	1
157	1081	212	213	247	204	1
158	1083	214	215	316	4133	27
159	1084	216	217	21	799	5
160	1085	218	219	89	1513	10
161	1086	220	221	85	272	2
162	1087	222	223	36	476	3
163	1088	223	224	36	536	4
164	1089	225	222	22	536	4
165	1090	226	227	85	434	3
166	1321	162	228	86	2040	3
167	1322	229	230	25	0	0
168	1323	229	231	27	0	0
169	1324	230	232	17	0	0
170	1325	232	233	13	0	0
171	1326	233	234	15	0	0
172	1329	231	230	20	0	0
173	1339	232	236	475	0	0
174	1383	237	238	45	0	0
175	1384	239	240	347	0	0
176	1385	240	238	82	0	0
177	1386	240	241	45	0	0
178	1387	241	242	71	162	1
179	1388	241	243	72	527	3
180	1389	244	245	267	2720	4
181	1391	245	246	89	162	1
182	1392	246	247	161	0	0
183	1393	247	248	17	204	1
184	1395	249	250	68	111	1
185	1396	250	251	57	859	6
186	1399	252	253	49	0	0
187	1400	253	254	82	485	3
188	1470	227	255	73	1845	11
189	1471	256	226	116	272	2
190	1473	257	258	62	366	2
191	1474	259	260	117	0	0
192	1477	261	262	59	476	3
193	1478	261	263	52	757	5
194	1479	264	265	101	1190	8
195	1481	213	266	134	162	1
196	1482	267	268	203	706	5
197	1496	269	270	49	6800	1
198	1502	271	272	74	6800	1
199	1603	273	103	63	527	3
200	1604	274	275	125	0	0
201	1605	276	277	76	323	2
202	1606	278	279	472	204	1
203	1607	280	281	262	0	0
204	1609	282	62	251	0	0
205	1734	283	284	141	111	1
206	1736	285	286	523	544	4
207	1737	286	287	107	162	1
208	2037	288	289	52	842	2
209	2038	289	290	12	162	1
210	2039	10	11	63	536	4
211	2040	291	292	122	1811	11
212	2063	293	294	61	0	0
213	2064	295	296	14	2754	14
214	2065	297	298	14	272	2
215	2088	299	280	566	680	1
216	2228	236	235	610	0	0
217	2230	233	300	29	0	0
218	2231	300	234	27	0	0
219	2232	173	167	616	0	0
220	2252	301	302	84	0	0
221	2253	302	303	54	0	0
222	2254	303	304	90	0	0
223	2255	302	305	171	1836	11
224	2283	306	307	21	0	0
225	2284	307	308	74	8498	8
226	2285	309	310	144	1794	11
227	2286	310	311	62	3273	23
228	2287	155	312	66	0	0
229	2288	312	313	58	0	0
230	2289	313	314	17	0	0
231	2290	312	315	17	111	1
232	2291	314	316	35	978	7
233	2292	314	315	69	1411	10
234	2293	315	317	51	3919	24
235	2295	158	318	114	0	0
236	2296	318	319	75	8352	5
237	2321	313	320	167	1513	11
238	2322	40	321	28	111	1
239	2324	322	282	11	0	0
240	2531	323	324	180	366	2
241	2532	325	326	162	0	0
242	2533	327	328	108	587	4
243	2534	329	330	165	1437	8
244	2535	331	332	10	221	2
245	2543	333	299	118	340	1
246	2545	335	336	51	4318	21
247	2681	179	337	108	2721	21
248	2682	303	338	179	2355	13
249	2989	339	340	13	0	0
250	2990	341	340	12	0	0
251	3115	342	176	141	340	1
252	3117	169	175	331	0	0
253	3366	330	331	255	1624	11
254	3367	343	323	17	0	0
255	3368	344	345	467	162	1
256	3415	346	347	141	1224	8
257	3416	347	348	11	0	0
258	3417	348	349	33	111	1
259	3418	350	351	14	0	0
260	3419	351	352	67	1122	7
261	3487	219	354	142	689	4
262	3488	354	355	46	0	0
263	3489	355	356	36	527	3
264	3590	358	359	155	0	0
265	3591	358	360	162	0	0
266	3593	360	359	39	0	0
267	3596	362	363	70	0	0
268	3604	361	364	107	0	0
269	3613	365	23	559	0	0
270	3642	366	367	821	927	7
271	3649	283	341	119	0	0
272	3651	368	369	623	315	2
273	3652	370	371	179	519	3
274	3653	372	368	164	111	1
275	3654	343	325	48	0	0
276	3655	373	344	131	646	5
277	3657	375	376	913	0	0
278	3658	377	378	663	485	3
279	3813	139	290	143	646	4
280	3814	140	379	65	111	1
281	3815	35	380	89	2457	19
282	3816	381	382	57	340	1
283	3841	383	384	138	434	3
284	4038	328	385	515	1658	8
285	4039	367	386	144	272	2
