ProblemType:	CARP
NumberNodes:	1735
NumberEdges:	2226
DepotNodeNumber:	1170
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	11	0	1	44	0	0
1	12	2	3	95	0	0
2	13	3	4	42	0	0
3	16	2	6	17	0	0
4	18	7	8	13	0	0
5	22	9	10	1567	0	0
6	46	14	15	296	0	0
7	48	16	17	595	0	0
8	49	16	14	13	0	0
9	52	14	18	424	0	0
10	53	19	20	202	0	0
11	64	21	22	110	327	1
12	67	23	24	291	1819	8
13	68	24	25	63	280	1
14	69	26	27	284	0	0
15	71	28	29	24	0	0
16	76	30	31	142	561	2
17	81	32	33	255	0	0
18	92	34	35	55	0	0
19	99	37	38	38	773	13
20	105	39	40	166	1774	11
21	111	41	42	68	0	0
22	122	43	44	25	561	2
23	139	45	46	59	327	1
24	141	47	48	36	0	0
25	144	48	49	28	1309	4
26	146	50	51	126	1993	14
27	147	51	52	61	0	0
28	149	53	54	11	0	0
29	150	54	55	103	59	1
30	151	56	57	1363	0	0
31	163	58	59	81	59	1
32	168	60	61	129	608	2
33	169	61	62	47	0	0
34	194	66	67	301	0	0
35	235	77	78	77	0	0
36	236	78	79	85	0	0
37	237	80	77	19	0	0
38	244	81	82	50	0	0
39	252	85	84	52	0	0
40	279	88	89	116	0	0
41	285	91	92	280	0	0
42	286	93	89	86	0	0
43	287	89	92	161	0	0
44	334	100	101	426	0	0
45	346	102	103	151	0	0
46	436	105	106	536	51	1
47	453	107	108	30	280	1
48	455	109	110	61	0	0
49	468	111	112	109	1122	4
50	485	113	114	339	0	0
51	495	112	116	8	561	2
52	538	119	118	259	0	0
53	551	122	123	345	0	0
54	555	122	124	434	0	0
55	566	126	127	594	0	0
56	571	129	130	679	0	0
57	575	126	128	111	0	0
58	589	4	131	58	0	0
59	595	132	133	19	833	14
60	597	134	135	65	0	0
61	613	4	136	96	0	0
62	620	138	139	40	0	0
63	621	139	140	77	1122	16
64	641	144	145	35	0	0
65	646	146	147	263	0	0
66	663	134	150	64	0	0
67	678	151	152	64	0	0
68	681	153	1	108	280	1
69	682	154	155	41	0	0
70	684	156	157	153	238	4
71	686	111	158	89	280	1
72	701	159	160	110	0	0
73	705	161	117	858	0	0
74	706	162	163	26	0	0
75	730	166	167	478	0	0
76	732	121	168	523	0	0
77	745	173	174	180	102	2
78	748	175	173	817	0	0
79	757	176	177	142	0	0
80	758	177	178	122	0	0
81	759	179	9	401	0	0
82	764	180	181	38	654	2
83	765	182	183	59	0	0
84	766	183	184	69	0	0
85	767	185	186	286	0	0
86	791	189	190	213	0	0
87	794	192	193	289	0	0
88	820	197	198	83	280	1
89	821	199	200	61	280	1
