ProblemType:	CARP
NumberNodes:	198
NumberEdges:	265
DepotNodeNumber:	29
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	48	0	1	79	5372	9
1	63	2	3	79	0	0
2	67	4	5	226	3536	10
3	71	6	2	75	0	0
4	73	7	6	22	9095	8
5	75	3	4	213	9458	20
6	81	8	9	58	6120	6
7	82	10	11	55	29502	16
8	83	12	11	62	25049	17
9	84	13	14	19	27082	69
10	85	11	13	57	2720	2
11	86	15	9	56	3825	5
12	87	14	15	9	0	0
13	89	16	8	194	2312	4
14	91	17	18	121	5603	26
15	92	19	20	47	7140	13
16	93	21	22	98	15045	13
17	105	21	23	24	0	0
18	106	24	25	104	26069	31
19	107	25	21	56	12689	6
20	108	26	25	71	0	0
21	109	27	28	108	14331	12
22	110	29	27	145	2023	8
23	111	30	31	71	6807	21
24	112	30	32	98	5039	17
25	113	32	33	88	9467	26
26	114	34	30	67	32568	19
27	115	35	33	257	17801	77
28	117	36	37	96	21964	29
29	121	39	38	28	0	0
30	122	40	39	93	13495	9
31	140	41	42	56	17760	30
32	143	43	44	133	26091	29
33	152	45	41	20	5712	7
34	158	46	43	143	24034	37
35	159	46	42	34	0	0
36	173	47	48	83	2312	3
37	175	1	49	118	3162	3
38	176	49	17	71	862	4
39	177	48	50	57	8896	9
40	178	51	47	204	19062	21
41	179	17	51	139	10608	13
42	188	54	55	17	0	0
43	189	56	52	77	9235	32
44	190	57	58	125	8445	16
45	191	57	54	21	0	0
46	192	52	54	60	7346	24
47	193	58	59	70	16918	10
48	207	46	60	60	18513	23
49	208	60	61	90	4760	8
50	251	62	63	105	32640	27
51	254	64	62	117	14288	9
52	255	63	56	28	0	0
53	258	65	66	51	0	0
54	264	66	67	60	7276	9
55	269	68	69	36	0	0
56	270	70	71	35	0	0
57	271	72	73	35	13838	18
58	273	74	75	25	12767	9
59	274	10	29	21	0	0
60	275	76	77	57	0	0
61	276	78	79	67	0	0
62	277	34	71	44	6052	7
63	278	44	64	92	0	0
64	279	80	68	39	4420	4
65	280	81	79	7	0	0
66	281	69	72	29	3668	11
67	282	82	80	113	15470	10
68	283	83	29	69	0	0
69	284	10	84	55	0	0
70	285	84	78	74	23304	28
71	286	64	40	112	15065	12
72	287	73	74	26	0	0
73	288	83	77	13	0	0
74	289	81	82	82	0	0
75	290	70	76	74	8840	7
76	291	40	34	59	16014	13
77	301	19	48	145	10421	10
78	303	85	86	64	3400	2
79	304	87	88	59	0	0
80	305	89	90	35	5168	5
81	306	85	87	34	0	0
82	307	88	51	185	0	0
83	308	91	51	88	13637	12
84	309	65	90	101	16558	26
85	323	92	93	109	9299	10
86	324	94	95	109	18974	29
87	325	96	97	53	28648	22
88	326	98	99	76	6664	10
89	327	100	101	77	10710	7
90	328	102	103	225	21920	40
91	329	83	104	242	8690	25
92	331	2	105	208	16872	51
93	335	106	55	261	33355	35
94	336	107	106	90	16201	6
95	337	55	57	16	2040	2
96	338	71	107	110	13685	9
97	340	38	62	96	204	2
98	342	108	56	86	9996	9
99	343	109	59	76	5372	5
100	344	110	111	111	15725	13
101	345	112	111	144	23018	26
102	346	113	112	43	0	0
103	363	42	114	148	23831	24
104	364	115	116	68	9842	23
105	366	117	118	50	2966	15
106	367	89	91	81	15045	10
107	427	119	91	202	24504	24
108	447	47	120	158	20914	26
109	448	67	121	132	18041	52
110	449	122	123	259	28089	65
111	450	68	124	46	20868	25
112	451	125	126	259	27003	24
113	452	127	79	26	0	0
114	453	15	125	131	25854	12
115	454	128	126	99	26279	14
116	455	126	127	56	30060	18
117	456	14	128	131	18626	6
118	457	125	128	11	0	0
119	458	129	85	229	25076	43
120	459	130	129	56	7922	7
121	460	129	131	59	0	0
122	461	132	87	296	28280	59
123	462	16	133	97	9265	18
124	463	77	16	32	3400	1
125	536	134	135	56	0	0
126	537	134	136	64	12648	14
127	539	137	138	79	17623	19
128	540	138	139	116	17845	14
129	543	106	140	235	2040	1
130	547	141	131	55	0	0
131	548	131	86	236	36347	58
132	551	1	142	158	10965	7
133	567	39	107	77	0	0
134	601	82	143	112	16122	21
135	602	144	145	73	15720	14
136	603	143	137	80	20732	26
137	605	146	135	29	0	0
138	606	94	103	33	0	0
139	607	138	144	25	0	0
140	608	147	94	45	0	0
141	609	103	148	71	14501	13
142	610	147	92	32	0	0
143	612	145	134	14	0	0
144	613	146	92	47	0	0
145	621	148	5	54	0	0
146	625	76	140	184	17221	25
147	626	149	150	23	0	0
148	627	150	151	90	6324	5
149	628	152	149	73	510	2
150	630	150	153	74	0	0
151	631	96	154	68	16456	13
152	632	155	96	78	9933	8
153	633	153	155	74	6548	4
154	634	140	152	50	4556	9
155	639	154	3	63	0	0
156	715	50	156	102	25702	36
157	1000	74	157	144	26575	52
158	1035	135	158	109	22248	21
159	1036	159	160	95	17311	21
160	1037	161	158	4	0	0
161	1040	161	159	85	2201	4
162	1052	73	162	151	17713	28
163	1053	162	160	338	22749	75
164	1060	163	159	336	22461	126
165	1061	159	164	56	8942	15
166	1062	69	163	140	16346	39
167	1063	139	161	177	19981	42
168	1064	80	139	285	25156	88
169	1065	158	93	75	15045	11
170	1066	93	95	77	16015	15
171	1068	155	99	181	21383	64
172	1069	165	101	25	0	0
173	1070	99	165	26	3740	1
174	1071	101	147	202	22450	32
175	1072	154	166	211	33470	43
176	1073	166	148	225	40146	65
177	1074	166	4	60	6480	4
178	1075	165	102	79	935	4
179	1076	102	166	68	0	0
180	1077	98	22	11	0	0
181	1078	153	98	179	36380	46
182	1079	22	100	40	0	0
183	1080	100	146	201	24640	55
184	1081	28	167	74	7605	16
185	1082	28	26	6	0	0
186	1083	152	104	60	0	0
187	1084	104	26	70	17770	27
188	1085	145	23	219	5836	10
189	1086	168	169	72	0	0
190	1087	144	168	74	10642	8
191	1088	169	167	74	6885	6
192	1089	162	157	65	4634	7
193	1090	163	162	65	2142	3
194	1091	170	171	195	19261	32
195	1092	6	170	13	0	0
196	1093	155	105	82	32050	48
197	1094	105	171	75	15024	55
198	1095	172	173	60	23477	18
199	1096	173	58	93	11339	13
200	1099	174	172	96	19099	35
201	1100	174	53	25	0	0
202	1101	44	108	258	40438	38
203	1102	108	53	77	0	0
204	1103	173	175	23	10200	5
205	1104	112	176	112	9438	22
206	1105	177	178	44	1292	3
207	1106	179	177	151	25296	25
208	1107	177	112	111	11917	10
209	1108	113	180	112	13787	20
210	1109	178	113	19	0	0
211	1110	180	44	77	5132	12
212	1111	181	110	99	18991	26
213	1112	181	182	67	16592	15
214	1113	180	176	39	0	0
215	1114	176	181	40	8704	8
216	1115	183	53	149	16932	9
217	1116	110	183	44	0	0
218	1117	174	184	76	408	1
219	1146	61	36	111	9384	13
220	1147	36	178	139	13691	30
221	1148	185	117	56	17867	13
222	1149	186	64	101	19210	16
223	1150	117	114	83	8160	4
224	1151	115	114	3	0	0
225	1152	0	185	96	15329	27
226	1153	115	35	101	10030	16
227	1154	35	187	82	22653	21
228	1155	186	187	38	0	0
229	1156	43	187	118	23097	15
230	1157	187	188	98	5690	19
231	1158	188	32	128	8128	43
232	1159	84	189	156	9792	12
233	1160	23	167	73	1700	1
234	1161	189	167	107	0	0
235	1162	137	190	78	13515	9
236	1163	189	27	73	14121	27
237	1164	191	189	74	6290	11
238	1165	190	191	73	2975	5
239	1166	78	191	165	8449	13
240	1167	191	169	108	0	0
241	1168	81	190	176	20806	28
242	1169	190	168	109	19745	18
243	1170	188	186	141	39339	41
244	1171	186	192	63	18768	19
245	1174	1	193	111	13854	20
246	1178	49	194	201	14973	49
247	1179	119	90	83	12770	14
248	1180	194	119	125	40697	53
249	1184	195	65	95	21710	24
250	1246	121	120	106	17641	34
251	1247	89	121	97	18890	21
252	1248	132	48	177	9384	10
253	1249	82	122	133	15540	16
254	1250	122	141	68	11832	10
255	1251	141	130	59	0	0
256	1252	130	132	62	0	0
257	1253	196	197	163	6460	5
258	1254	76	133	124	40947	30
259	1255	197	8	39	15521	16
260	1256	9	86	14	0	0
261	1257	133	8	112	10166	15
262	-1	38	63	163	0	0
263	-3	53	52	93	0	0
264	-7	88	142	336	0	0
END
-----------------------------------------
InputUsedToGenerateTheGraph:
County:	Frederiksberg
CenterNodeId:	149
Radius:	1000
HouseTypes:	Normal	Summer	Apartment
NumberOfWasteFractions: 5
IntervalsForWasteFraction:	general	2.3	3.5	7.0
IntervalsForWasteFraction:	glass	7.0	14.0	21.0	28.0
IntervalsForWasteFraction:	metal	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	plastic	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	Organic	28.0
-----------------------------------------


