ProblemType:	CARP
NumberNodes:	2171
NumberEdges:	2459
DepotNodeNumber:	466
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	3	0	1	103	0	0
1	4	2	3	13	119	1
2	5	4	5	53	94	1
3	14	9	10	337	3461	22
4	15	10	11	287	4327	24
5	16	12	13	294	3885	23
6	17	14	15	260	4191	22
7	18	16	17	315	3706	20
8	19	17	18	213	3859	19
9	44	19	20	184	213	2
10	45	20	21	193	213	2
11	47	22	23	103	0	0
12	48	22	24	302	0	0
13	49	25	26	7	0	0
14	50	26	27	310	0	0
15	53	28	29	59	0	0
16	55	30	31	197	213	2
17	127	32	0	5	0	0
18	137	33	34	388	0	0
19	150	14	13	46	0	0
20	273	35	36	1263	783	5
21	274	37	38	163	502	3
22	275	38	39	25	0	0
23	284	40	41	72	94	1
24	285	41	42	6	0	0
25	294	43	44	69	1088	5
26	355	46	47	55	0	0
27	375	48	49	24	0	0
28	376	49	50	63	0	0
29	377	51	52	147	94	1
30	408	31	53	90	94	1
31	519	54	55	83	94	1
32	543	56	57	61	119	1
33	544	58	56	71	119	1
34	545	56	59	119	0	0
35	572	60	61	173	1880	8
36	573	61	62	33	204	1
37	574	62	63	27	0	0
38	575	63	64	53	400	4
39	576	65	66	20	0	0
40	577	66	67	119	1343	6
41	578	68	69	77	1139	2
42	579	69	70	47	204	1
43	592	73	74	19	0	0
44	593	74	75	61	510	1
45	599	76	77	60	204	1
46	602	78	79	69	94	1
47	603	80	81	27	94	1
48	604	26	82	71	94	1
49	605	22	83	489	1020	2
50	622	84	85	213	204	1
51	623	86	87	356	204	1
52	625	88	85	139	119	1
53	648	89	90	146	408	2
54	649	91	92	49	0	0
55	650	92	93	40	3060	3
56	651	94	95	36	0	0
57	652	95	96	20	94	1
58	655	98	99	19	1216	11
59	656	100	101	8	0	0
60	657	101	98	23	94	1
61	723	102	103	408	119	1
62	727	87	104	93	204	1
63	732	105	106	105	94	1
64	736	64	107	69	298	2
65	741	108	109	26	204	1
66	742	109	110	13	204	1
67	744	111	112	237	1098	5
68	753	113	114	50	94	1
69	754	94	115	60	204	1
70	756	29	116	112	1020	1
71	757	20	117	75	94	1
72	861	118	119	86	94	1
73	862	120	121	45	204	1
74	869	122	123	37	94	1
75	890	124	125	191	689	4
76	896	64	65	58	0	0
77	907	126	127	137	94	1
78	908	128	129	74	204	1
79	909	130	131	107	434	2
80	910	132	133	395	0	0
81	915	133	134	228	94	1
82	916	134	135	459	298	2
83	983	136	137	5	0	0
84	984	137	138	88	188	1
85	1043	139	140	59	94	1
86	1103	141	142	327	0	0
87	1104	141	143	95	94	1
88	1119	144	145	116	612	3
89	1122	72	87	532	0	0
90	1127	146	147	27	604	5
91	1128	148	149	95	1999	10
92	1131	150	151	251	0	0
93	1136	152	153	44	7140	7
94	1137	154	155	49	119	1
95	1443	2	4	2	0	0
96	1446	156	157	74	0	0
97	1447	156	158	102	323	2
98	1450	96	159	45	0	0
99	1452	160	161	138	3876	5
100	1459	162	163	28	187	2
101	1537	164	165	46	306	3
102	1538	166	167	172	0	0
103	1540	168	166	172	0	0
104	1542	169	170	137	0	0
105	1543	171	172	33	282	2
106	1544	165	171	6	0	0
107	1545	171	173	29	213	2
108	1546	174	175	17	4080	4
109	1547	167	176	173	0	0
110	1568	178	179	180	188	1
111	1573	180	181	445	94	1
112	1600	182	183	205	298	2
113	1694	7	186	272	0	0
114	1698	187	188	509	0	0
115	1805	190	191	50	6120	6
116	1806	191	192	31	0	0
117	1809	193	194	40	204	1
118	1817	195	196	75	800	3
119	1822	197	198	55	187	2
120	1823	176	168	173	0	0
121	1828	199	200	22	94	1
122	1830	201	164	42	562	5
123	1858	35	202	753	298	2
124	1859	38	203	67	298	2
125	1860	42	204	81	298	2
126	1863	205	206	184	282	2
127	1970	207	208	51	204	1
128	1973	209	210	27	468	3
129	1974	211	212	38	282	2
130	1975	213	214	61	188	1
131	1976	215	216	72	589	4
132	1980	217	218	291	3452	12
133	1981	219	220	27	527	2
134	1984	221	222	46	188	1
135	1987	225	226	262	408	1
136	1988	226	227	136	0	0
137	1990	228	229	87	0	0
138	1991	230	231	50	680	1
139	1992	232	233	208	1965	10
140	1993	234	235	11	1157	9
141	1995	236	237	24	374	2
142	1997	238	239	50	187	2
143	1998	239	240	43	1395	4
144	1999	239	241	67	391	3
145	2000	242	243	48	816	4
146	2001	244	245	56	323	2
147	2002	246	247	47	401	3
148	2003	248	249	68	357	2
149	2004	250	251	38	307	2
150	2008	45	252	63	392	2
151	2009	252	253	76	1258	6
152	2021	254	190	8	0	0
153	2022	190	255	33	0	0
154	2059	256	192	9	0	0
155	2060	257	258	73	714	5
156	2061	258	259	3	0	0
157	2062	260	261	3	0	0
158	2063	261	262	143	187	2
159	2064	263	264	50	94	1
160	2065	264	265	65	0	0
161	2071	266	186	81	0	0
162	2072	186	143	48	0	0
163	2103	125	85	171	808	6
164	2104	267	94	14	0	0
165	2105	67	113	42	0	0
166	2106	113	91	157	986	7
167	2107	157	268	137	0	0
168	2108	268	269	66	94	1
169	2177	120	270	80	238	1
170	2183	271	125	407	188	1
171	2201	272	273	611	0	0
172	2202	272	274	33	0	0
173	2203	274	275	99	0	0
174	2204	274	276	33	0	0
175	2205	276	277	99	0	0
176	2206	276	272	62	0	0
177	2211	264	278	18	392	2
178	2213	258	261	72	646	2
179	2231	68	267	10	0	0
180	2289	279	280	78	1302	6
181	2299	281	282	111	4362	6
182	2301	283	284	84	7140	7
183	2303	285	286	85	1020	1
184	2304	287	285	42	0	0
185	2305	288	289	25	94	1
186	2306	155	290	111	298	2
187	2358	291	292	107	1020	1
188	2390	41	293	56	638	3
189	2391	158	44	91	0	0
190	2393	294	295	142	2296	9
191	2394	296	297	112	1624	7
192	2540	299	44	42	94	1
193	2541	299	267	51	0	0
194	2542	300	301	114	987	5
195	2543	302	303	32	408	2
196	2544	304	305	87	1343	4
197	2545	305	306	88	94	1
198	2546	306	70	84	0	0
199	2547	307	308	103	0	0
200	2548	70	309	38	408	2
201	2549	310	311	83	1190	6
202	2550	312	313	103	0	0
203	2551	307	314	144	94	1
204	2552	314	315	382	204	1
205	2553	315	316	220	391	3
206	2554	317	318	435	1003	5
207	2555	318	319	127	1003	6
208	2556	320	321	560	94	1
209	2557	321	317	267	0	0
210	2598	322	323	333	94	1
211	2599	323	324	135	204	1
212	2603	65	90	13	0	0
213	2605	93	325	47	0	0
214	2606	325	308	680	94	1
215	2607	301	326	52	391	3
216	2608	327	328	560	2542	4
217	2609	327	97	19	0	0
218	2610	326	62	102	1616	6
219	2611	85	329	169	1098	6
220	2674	330	331	40	0	0
221	2675	331	332	66	0	0
222	2676	331	333	398	119	1
223	2700	322	334	231	0	0
224	2701	334	320	225	0	0
225	2722	335	336	688	697	4
226	2723	336	337	23	0	0
227	2736	338	339	128	690	4
228	2737	339	340	93	893	6
229	2738	340	341	104	969	5
