ProblemType:	CARP
NumberNodes:	393
NumberEdges:	421
DepotNodeNumber:	28
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	197	0	1	44	323	2
1	198	1	2	15	0	0
2	199	3	4	102	1054	6
3	200	4	5	48	162	1
4	262	6	7	194	204	1
5	459	8	9	259	94	1
6	461	10	11	13	162	1
7	701	12	13	110	0	0
8	757	14	15	142	527	3
9	758	15	16	122	366	2
10	830	14	17	22	0	0
11	831	17	16	113	646	4
12	834	18	19	105	162	1
13	835	19	15	51	408	2
14	912	20	21	299	0	0
15	913	20	22	185	0	0
16	914	21	23	130	162	1
17	955	24	25	67	0	0
18	956	26	27	350	162	1
19	1023	28	29	958	10049	20
20	1024	30	31	303	162	1
21	1025	32	33	142	0	0
22	1026	34	35	153	162	1
23	1027	36	37	240	0	0
24	1028	38	39	220	1105	7
25	1029	40	38	335	340	1
26	1030	40	36	201	323	2
27	1031	36	41	470	0	0
28	1032	42	43	81	1131	7
29	1033	43	39	78	1141	3
30	1034	43	44	143	851	5
31	1136	45	46	338	0	0
32	1277	47	48	292	323	2
33	1279	49	50	175	1335	8
34	1280	50	51	11	0	0
35	1281	51	52	94	485	3
36	1282	52	53	81	323	2
37	1283	53	54	104	94	1
38	1285	55	56	1296	162	1
39	1286	50	57	43	527	3
40	1287	51	58	33	323	2
41	1288	52	59	48	366	2
42	1289	46	60	344	0	0
43	1290	46	12	59	0	0
44	1291	56	61	27	0	0
45	1292	61	62	248	0	0
46	1293	63	64	39	0	0
47	1298	65	66	437	0	0
48	1299	67	65	127	204	1
49	1300	65	68	83	0	0
50	1301	69	26	283	162	1
51	1302	70	10	98	204	1
52	1303	20	70	135	604	4
53	1304	70	63	51	94	1
54	1336	48	71	21	0	0
55	1346	49	72	13	0	0
56	1473	73	74	136	0	0
57	1474	75	76	143	0	0
58	1475	77	78	71	646	4
59	1484	79	77	384	0	0
60	1486	33	80	169	0	0
61	1575	45	81	148	162	1
62	1577	82	23	161	485	3
63	1578	23	83	513	0	0
64	1579	82	21	75	162	1
65	1654	25	27	237	162	1
66	1655	27	41	238	204	1
67	1657	84	85	233	486	2
68	1658	86	87	40	323	2
69	1659	86	88	764	323	2
70	1660	24	84	86	162	1
71	1661	41	89	345	0	0
72	1894	90	91	328	204	1
73	1906	92	67	232	0	0
74	1909	93	94	300	0	0
75	1910	94	66	176	162	1
76	1921	83	95	172	0	0
77	1922	96	97	69	0	0
78	1923	98	99	40	417	3
79	1971	85	100	309	0	0
80	1972	100	101	10	0	0
81	1974	102	103	1374	0	0
82	2303	105	106	470	1242	7
83	2304	90	103	209	94	1
84	2305	103	105	67	162	1
85	2306	107	108	141	0	0
86	2307	108	109	40	0	0
87	2338	110	111	64	1437	7
88	2339	112	113	43	621	3
89	2340	113	110	37	366	2
90	2341	114	115	110	867	4
91	2342	115	112	73	0	0
92	2343	116	114	157	0	0
93	2345	117	118	41	0	0
94	2346	118	119	66	0	0
95	2347	120	121	32	2244	2
96	2349	117	122	23	0	0
97	2350	122	120	20	162	1
98	2351	123	124	8	0	0
99	2352	124	125	46	663	3
100	2731	126	127	95	808	5
101	2858	128	129	84	119	1
102	2862	62	130	179	162	1
103	2863	131	132	76	119	1
104	2878	64	133	136	162	1
105	2879	134	135	99	408	2
106	2881	95	136	294	162	1
107	2882	97	137	112	94	1
108	2883	97	138	176	323	2
109	2885	139	140	111	162	1
110	2886	141	142	71	204	1
111	2887	143	144	74	340	1
112	2911	145	146	35	94	1
113	3010	60	147	68	162	1
114	3300	148	149	180	162	1
115	3309	150	151	287	162	1
116	3311	152	153	176	162	1
117	3312	154	155	140	204	1
118	3389	156	157	174	162	1
119	3391	158	89	32	0	0
120	3392	89	156	170	0	0
121	3653	159	102	232	0	0
122	3654	34	128	60	0	0
123	3655	128	32	347	366	2
124	3656	160	161	132	162	1
125	3662	61	141	456	0	0
126	3663	141	76	27	0	0
127	3664	162	75	485	204	1
128	3665	76	163	609	366	2
129	3666	163	139	280	162	1
130	3677	165	166	694	340	1
131	3678	166	167	7	0	0
132	3679	168	36	1233	1939	9
133	3742	94	169	98	162	1
134	3873	170	171	64	204	1
135	3875	66	172	76	162	1
136	3876	92	173	111	162	1
137	3880	174	175	97	162	1
138	3882	176	177	126	323	2
139	3883	178	179	60	94	1
140	3884	102	180	33	204	1
141	3885	101	181	104	204	1
142	3886	100	182	75	119	1
143	3887	163	183	302	162	1
144	3889	184	185	99	162	1
145	3890	186	187	80	204	1
146	4159	188	189	82	689	4
147	4160	188	190	45	417	3
148	4161	191	188	44	485	3
149	4162	125	192	134	646	4
150	4165	120	192	40	162	1
151	4298	193	194	34	0	0
152	4366	195	196	74	442	3
153	4469	197	198	130	0	0
154	4470	198	199	235	255	2
155	4557	200	174	860	1760	12
156	4558	174	201	137	510	4
157	4559	201	202	657	162	1
158	4560	201	203	216	0	0
159	4561	203	145	274	0	0
160	4562	145	104	105	0	0
161	4563	104	204	198	0	0
162	4564	205	60	450	0	0
163	4566	206	178	60	0	0
164	4567	178	207	86	0	0
165	4580	208	209	55	340	1
166	4581	210	208	82	680	2
167	4582	211	210	41	162	1
168	4583	210	212	34	0	0
169	4585	170	211	112	162	1
170	4586	134	213	244	0	0
171	4587	22	134	157	0	0
172	4588	22	131	425	0	0
173	4589	131	214	496	162	1
174	4590	214	186	267	162	1
175	4591	29	40	792	255	2
176	4596	215	216	149	1463	6
177	4597	216	217	83	969	6
178	4612	218	208	45	0	0
179	4613	219	220	190	366	2
180	4614	220	221	30	0	0
181	4615	222	184	126	0	0
182	4616	184	223	526	0	0
183	4651	91	224	80	162	1
184	4682	17	225	63	502	2
185	4683	19	226	125	162	1
186	4684	107	227	169	162	1
187	4685	108	228	74	162	1
188	5001	109	24	255	0	0
189	5002	109	229	111	340	1
190	5003	107	230	502	162	1
191	5004	230	231	69	204	1
192	5961	232	4	32	162	1
193	6018	233	234	14	1012	6
194	6020	235	143	281	0	0
195	6024	236	237	37	1003	7
196	6025	236	238	16	162	1
197	6056	239	240	36	485	3
198	6057	241	242	286	417	3
199	6058	243	233	28	323	2
200	6060	193	244	36	646	4
201	6061	245	193	20	162	1
202	6062	246	247	9	0	0
203	6125	207	248	119	162	1
204	6143	164	249	357	162	1
205	6144	250	241	107	757	4
206	6145	241	251	80	0	0
207	6146	251	252	371	255	2
208	6147	253	250	3	0	0
209	6148	253	254	38	323	2
210	6149	255	239	31	162	1
211	6150	239	256	150	1734	11
212	6151	206	257	41	0	0
213	6152	257	116	119	0	0
214	6153	257	258	69	1182	5
215	6186	164	246	126	255	2
216	6198	8	259	544	0	0
217	6199	260	255	79	850	5
218	6201	261	262	165	94	1
219	6224	125	263	11	0	0
220	6275	259	264	55	162	1
221	6540	265	266	133	162	1
222	6541	267	92	860	0	0
223	6622	265	167	29	0	0
224	6704	93	268	215	162	1
225	6808	267	168	381	0	0
226	6925	269	267	155	0	0
227	6940	270	170	2120	0	0
228	7029	194	271	40	731	4
