ProblemType:	CARP
NumberNodes:	268
NumberEdges:	305
DepotNodeNumber:	30
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	355	0	1	55	0	0
1	1136	2	3	44	7140	7
2	1459	4	5	28	187	2
3	1537	6	7	46	306	3
4	1543	8	9	33	282	2
5	1544	7	8	6	0	0
6	1545	8	10	29	213	2
7	1828	11	12	22	94	1
8	1830	13	6	42	562	5
9	2299	15	16	111	4362	6
10	4196	17	18	73	0	0
11	4503	19	20	30	94	1
12	4526	21	22	81	7668	14
13	4538	23	24	42	0	0
14	4540	25	26	16	0	0
15	4541	26	27	194	2389	6
16	4542	28	29	44	0	0
17	4543	29	30	86	1360	5
18	4544	31	32	2	0	0
19	4545	33	34	66	4556	8
20	4546	34	31	37	2822	5
21	4547	35	36	18	680	1
22	4550	37	38	49	970	6
23	4551	38	39	16	766	4
24	4552	40	41	75	0	0
25	4553	42	43	45	2338	13
26	4554	44	45	43	94	1
27	4555	46	47	38	0	0
28	4556	48	49	55	0	0
29	4557	50	48	40	792	3
30	4559	51	52	72	408	1
31	4560	52	53	34	596	3
32	4561	54	55	30	417	3
33	4592	56	57	28	731	3
34	4594	17	58	62	1394	3
35	4595	58	59	19	0	0
36	4597	60	61	49	672	4
37	4599	55	62	32	391	3
38	4623	63	64	34	587	6
39	4650	64	65	14	400	4
40	4655	66	67	53	2814	9
41	4656	67	68	42	1938	5
42	4665	69	21	91	392	2
43	4670	70	71	22	204	1
44	4788	72	73	28	0	0
45	4789	74	75	106	1224	6
46	4843	76	25	28	5848	9
47	4844	77	78	26	0	0
48	4846	79	80	12	0	0
49	4872	81	82	103	2449	8
50	4876	83	0	20	188	1
51	6086	84	27	28	0	0
52	6099	85	37	66	2100	7
53	6101	86	37	50	510	4
54	6102	87	88	55	1914	5
55	6103	36	61	57	2669	9
56	6106	41	89	64	0	0
57	6107	41	90	65	0	0
58	6108	90	91	69	3511	6
59	6109	92	33	21	1318	3
60	6110	93	94	8	0	0
61	6111	94	95	77	2849	6
62	6112	96	97	105	4438	14
63	6113	97	98	49	1744	8
64	6115	50	99	146	3019	11
65	6116	99	100	49	596	3
66	6117	101	51	167	1377	10
67	6118	102	103	64	332	2
68	6119	104	105	22	119	1
69	6120	106	107	97	816	2
70	6121	107	108	23	0	0
71	6126	109	110	14	0	0
72	6137	102	111	115	3240	18
73	6138	30	112	101	1438	6
74	6139	112	76	96	4080	4
75	6140	81	113	50	2414	7
76	6149	114	115	15	2040	2
77	6150	115	116	47	486	3
78	6151	117	118	62	204	1
79	6152	118	119	16	0	0
80	6153	73	120	75	94	1
81	6154	121	122	61	2448	3
82	6155	123	76	70	6410	10
83	6156	124	125	42	1343	3
84	6157	125	126	153	2168	14
85	6158	113	127	50	1633	11
86	6159	127	23	24	1913	6
87	6160	128	129	33	408	1
88	6161	122	130	46	94	1
89	6236	100	131	25	510	4
90	6280	132	133	122	1777	6
91	6333	84	134	27	94	1
92	6334	36	135	47	2040	2
93	6335	73	136	95	578	3
94	6352	128	99	78	1615	6
95	6353	99	125	57	936	5
96	6354	137	138	31	1863	9
97	6356	93	87	73	1556	5
98	6358	139	121	67	1224	3
99	6359	59	27	44	1224	4
100	6361	140	58	16	0	0
101	6362	30	81	64	765	4
102	6363	141	91	15	0	0
103	6364	95	142	69	417	3
104	6365	95	85	49	2007	9
105	6366	85	114	19	0	0
106	6367	142	109	74	1098	6
107	6368	143	140	48	2040	2
108	6369	144	145	77	4284	6
109	6370	146	147	16	3128	4
110	6371	147	117	84	4174	7
111	6372	145	146	48	374	2
112	6373	2	118	33	0	0
113	6376	148	149	77	17710	17
114	6377	150	151	13	119	1
115	6378	151	137	96	1641	10
116	6379	137	152	53	1531	6
117	6380	15	153	63	0	0
118	6381	45	102	9	0	0
119	6420	75	154	54	486	3
120	6433	155	156	90	0	0
121	6660	157	158	76	0	0
122	6661	157	159	54	0	0
123	6663	160	161	71	188	1
124	6664	161	162	92	408	1
125	6669	163	150	79	1183	6
126	6679	164	165	48	3758	5
127	7220	166	167	11	94	1
128	7221	168	169	31	1768	3
129	7222	170	108	49	0	0
130	7223	170	171	18	0	0
131	7224	172	173	51	1938	9
132	7225	172	174	60	1054	3
133	7226	174	117	45	0	0
134	7227	119	175	20	94	1
135	7228	175	72	30	188	1
136	7437	176	177	52	94	1
137	7438	177	178	84	842	5
138	7440	179	180	24	298	2
139	7441	80	181	27	970	4
140	7442	42	182	21	426	2
141	7443	111	141	33	1736	9
142	7444	183	44	5	0	0
143	7445	18	184	43	1208	5
144	7446	45	57	70	579	4
145	7447	57	185	26	0	0
146	7448	185	104	13	408	1
147	7449	30	47	22	0	0
148	7451	47	186	23	282	2
149	7452	48	187	33	0	0
150	7453	187	128	114	2815	15
151	7454	187	188	18	510	1
152	7455	126	189	24	0	0
