ProblemType:	CARP
NumberNodes:	399
NumberEdges:	549
DepotNodeNumber:	50
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	16	0	1	181	42026	54
1	48	2	3	79	5372	9
2	53	4	5	98	36435	28
3	54	6	7	86	0	0
4	58	8	5	119	17112	13
5	59	9	10	107	7920	13
6	60	7	11	63	0	0
7	62	11	12	23	0	0
8	63	13	14	79	0	0
9	65	15	16	140	27191	48
10	66	17	8	90	9013	6
11	67	18	19	226	3536	10
12	68	12	20	84	16813	20
13	69	16	21	153	24892	35
14	70	5	15	111	16747	22
15	71	22	23	69	0	0
16	72	23	13	6	0	0
17	73	20	22	22	9095	8
18	74	19	17	111	23484	42
19	75	14	18	213	9458	20
20	76	10	6	45	0	0
21	81	24	25	58	6120	6
22	82	26	27	55	29502	16
23	83	28	27	62	25049	17
24	84	29	30	19	27082	69
25	85	27	29	57	2720	2
26	86	31	25	56	3825	5
27	87	30	31	9	0	0
28	89	32	24	194	2312	4
29	91	33	34	121	5603	26
30	92	35	36	47	7140	13
31	93	37	38	98	15045	13
32	100	39	40	244	27093	64
33	101	41	39	40	0	0
34	102	42	43	51	1870	2
35	105	37	44	24	0	0
36	106	45	46	104	26069	31
37	107	46	37	56	12689	6
38	108	47	46	71	0	0
39	109	48	49	108	14331	12
40	110	50	48	145	2023	8
41	111	51	52	71	6807	21
42	112	51	53	98	5039	17
43	113	53	54	88	9467	26
44	114	55	51	67	32568	19
45	115	56	54	257	17801	77
46	116	57	58	97	16538	9
47	117	59	57	96	21964	29
48	121	61	60	28	0	0
49	122	62	61	93	13495	9
50	124	63	64	107	26118	21
51	126	65	66	91	4818	8
52	128	65	67	74	2273	10
53	129	67	68	85	1036	8
54	130	69	70	115	0	0
55	131	71	69	72	1785	7
56	140	72	73	56	17760	30
57	142	40	74	11	0	0
58	143	75	76	133	26091	29
59	148	77	78	72	0	0
60	149	79	80	72	0	0
61	150	80	81	63	0	0
62	152	82	72	20	5712	7
63	153	74	83	92	15164	16
64	154	78	84	88	10540	11
65	156	77	85	9	0	0
66	157	83	82	81	4284	4
67	158	86	75	143	24034	37
68	159	86	73	34	0	0
69	161	79	85	53	0	0
70	162	84	40	65	0	0
71	164	87	88	91	3332	5
72	165	89	90	121	10472	7
73	166	90	87	94	2312	4
74	167	91	89	104	8704	12
75	170	88	92	101	13396	15
76	172	93	92	144	6834	7
77	173	94	95	83	2312	3
78	174	74	2	154	21332	30
79	175	3	96	118	3162	3
80	176	96	33	71	862	4
81	177	95	93	57	8896	9
82	178	97	94	204	19062	21
83	179	33	97	139	10608	13
84	180	98	92	480	0	0
85	188	101	102	17	0	0
86	189	103	99	77	9235	32
87	190	104	105	125	8445	16
88	191	104	101	21	0	0
89	192	99	101	60	7346	24
90	193	105	106	70	16918	10
91	207	86	107	60	18513	23
92	208	107	108	90	4760	8
93	238	109	10	183	20193	31
94	241	110	111	16	0	0
95	242	111	70	102	765	3
96	245	112	113	131	12597	23
97	246	114	115	129	8580	22
98	251	116	117	105	32640	27
99	252	6	118	27	0	0
100	253	106	118	129	17517	24
101	254	119	116	117	14288	9
102	255	117	103	28	0	0
103	256	120	121	132	22337	29
104	257	122	123	32	0	0
105	258	124	125	51	0	0
106	259	124	121	24	0	0
107	260	126	127	112	19431	23
108	261	127	90	75	2244	3
109	262	128	129	76	29390	14
110	263	130	120	46	0	0
111	264	125	122	60	7276	9
112	265	123	128	70	0	0
113	266	129	126	95	5712	9
114	267	85	131	228	24162	58
115	268	131	130	116	25322	34
116	269	132	133	36	0	0
117	270	134	135	35	0	0
118	271	136	137	35	13838	18
119	273	138	98	25	12767	9
120	274	26	50	21	0	0
121	275	139	140	57	0	0
122	276	141	142	67	0	0
123	277	55	135	44	6052	7
124	278	76	119	92	0	0
125	279	143	132	39	4420	4
126	280	144	142	7	0	0
127	281	133	136	29	3668	11
128	282	145	143	113	15470	10
129	283	146	50	69	0	0
130	284	26	147	55	0	0
131	285	147	141	74	23304	28
132	286	119	62	112	15065	12
133	287	137	138	26	0	0
134	288	146	140	13	0	0
135	289	144	145	82	0	0
136	290	134	139	74	8840	7
137	291	62	55	59	16014	13
138	294	129	149	81	21868	28
139	295	149	150	35	2414	6
140	297	151	148	40	0	0
141	298	152	153	36	0	0
142	299	149	35	59	18722	22
143	300	153	129	101	10710	7
144	301	35	95	145	10421	10
145	302	151	152	100	0	0
146	303	154	155	64	3400	2
147	304	156	157	59	0	0
148	305	158	159	35	5168	5
149	306	154	156	34	0	0
150	307	157	97	185	0	0
151	308	160	97	88	13637	12
152	309	124	159	101	16558	26
153	314	161	162	116	7215	35
154	318	163	164	203	18606	110
155	319	164	165	252	11439	70
156	323	166	167	109	9299	10
157	324	168	169	109	18974	29
158	325	170	171	53	28648	22
159	326	172	173	76	6664	10
160	327	174	175	77	10710	7
161	328	176	177	225	21920	40
162	329	146	178	242	8690	25
163	330	11	179	86	4318	4
164	331	13	180	208	16872	51
165	332	7	181	44	30859	18
166	335	182	102	261	33355	35
167	336	183	182	90	16201	6
168	337	102	104	16	2040	2
169	338	135	183	110	13685	9
170	340	60	116	96	204	2
171	342	184	103	86	9996	9
172	343	185	106	76	5372	5
173	344	186	187	111	15725	13
174	345	188	187	144	23018	26
175	346	189	188	43	0	0
176	347	190	191	96	4840	28
177	348	192	193	138	21256	36
178	349	194	195	151	425	2
179	350	196	197	221	24147	54
180	354	107	198	163	17941	50
181	356	199	77	238	49804	63
182	357	200	78	253	32311	50
183	358	201	84	271	28498	94
184	359	202	83	307	26937	105
185	360	203	148	175	7820	6
186	361	151	204	172	0	0
187	362	205	57	205	42971	84
188	363	73	206	148	23831	24
189	364	207	208	68	9842	23
190	365	83	209	152	25393	34
191	366	210	211	50	2966	15
192	367	158	160	81	15045	10
193	379	58	43	128	14528	13
194	382	212	201	67	3264	5
195	383	202	213	25	0	0
196	384	214	215	46	9214	7
197	387	216	200	61	2312	4
198	388	41	213	70	12665	8
199	389	216	199	13	0	0
200	390	212	200	17	0	0
201	391	196	217	51	0	0
202	392	196	215	14	0	0
203	393	202	214	42	3604	4
204	395	201	41	70	0	0
205	396	217	58	136	4080	2
206	409	109	218	202	5780	4
207	410	9	109	58	0	0
208	413	218	219	120	4802	8
209	426	84	220	228	12897	59
210	427	221	160	202	24504	24
211	428	79	222	106	30662	32
212	429	123	223	135	31911	26
213	430	91	224	220	25169	36
214	431	225	203	70	0	0
215	432	204	226	62	0	0
216	435	227	228	106	11346	23
217	436	229	230	89	9591	22
218	440	233	234	80	12342	15
219	441	235	236	90	6494	13
220	442	0	237	74	7344	10
221	443	127	238	110	22731	30
222	444	78	239	228	27556	69
223	445	87	240	166	15407	43
224	446	241	128	132	12580	12
225	447	94	241	158	20914	26
226	448	122	242	132	18041	52
227	449	243	244	259	28089	65
228	450	132	245	46	20868	25
229	451	246	247	259	27003	24
230	452	248	142	26	0	0
231	453	31	246	131	25854	12
232	454	249	247	99	26279	14
233	455	247	248	56	30060	18
234	456	30	249	131	18626	6
235	457	246	249	11	0	0
236	458	250	154	229	25076	43
237	459	251	250	56	7922	7
238	460	250	252	59	0	0
239	461	253	156	296	28280	59
240	462	32	254	97	9265	18
241	463	140	32	32	3400	1
242	468	255	67	119	3678	20
243	519	110	71	59	2040	1
244	520	6	256	230	47674	107
245	522	256	110	18	0	0
246	536	257	258	56	0	0
247	537	257	259	64	12648	14
248	539	260	261	79	17623	19
249	540	261	262	116	17845	14
250	541	163	263	23	0	0
251	543	182	264	235	2040	1
252	547	265	252	55	0	0
253	548	252	155	236	36347	58
254	551	3	266	158	10965	7
255	566	267	268	232	0	0
256	567	61	183	77	0	0
257	570	269	270	387	28183	19
258	597	271	272	6	0	0
259	601	145	273	112	16122	21
260	602	274	275	73	15720	14
261	603	273	260	80	20732	26
262	604	276	66	94	24992	42
263	605	277	258	29	0	0
264	606	168	177	33	0	0
265	607	261	274	25	0	0
266	608	278	168	45	0	0
267	609	177	279	71	14501	13
268	610	278	166	32	0	0
269	612	275	257	14	0	0
270	613	277	166	47	0	0
271	614	280	276	88	17760	35
272	615	66	281	25	0	0
273	619	19	282	94	10404	8
274	620	282	163	114	17262	31
275	621	279	19	54	0	0
276	622	263	280	68	0	0
277	623	14	283	201	21018	28
278	624	284	283	43	6238	5
279	625	139	264	184	17221	25
280	626	285	286	23	0	0
281	627	286	287	90	6324	5
282	628	288	285	73	510	2
283	629	289	271	4	0	0
284	630	286	290	74	0	0
285	631	170	291	68	16456	13
286	632	292	170	78	9933	8
287	633	290	292	74	6548	4
288	634	264	288	50	4556	9
289	635	114	112	97	6644	26
290	636	293	114	135	5905	25
291	637	283	294	127	7616	13
292	638	112	289	85	2664	14
293	639	291	14	63	0	0
294	640	63	294	21	0	0
295	641	295	293	14	0	0
296	642	293	63	25	0	0
297	643	294	295	29	0	0
298	648	263	255	307	1988	9
299	649	296	272	73	1282	7
300	650	255	297	82	340	2
301	652	297	161	71	131	2
302	655	161	296	112	2333	17
303	656	298	271	256	10147	42
304	664	163	298	407	25605	32
305	674	299	300	33	0	0
306	678	301	300	12	0	0
307	679	268	299	63	6426	12
308	680	301	21	70	4352	6
309	704	9	302	338	48849	59
310	715	93	303	102	25702	36
311	716	304	303	19	0	0
312	717	304	88	165	27252	43
313	722	305	306	50	13928	13
314	725	306	307	77	13437	10
315	733	43	308	266	21430	54
316	735	308	307	177	19161	21
317	834	218	256	264	24279	48
318	936	64	115	153	16245	18
319	937	115	113	95	0	0
320	938	309	310	70	23733	10
321	939	23	309	144	25321	23
322	940	309	20	51	0	0
323	958	281	311	181	5423	30
324	959	68	311	82	4080	12
325	960	297	68	118	5978	31
326	962	295	298	192	9884	26
327	963	297	298	15	0	0
328	976	162	68	70	408	2
329	978	312	64	193	0	0
330	980	12	313	70	10619	6
331	981	313	312	179	6208	2
