ProblemType:	CARP
NumberNodes:	2773
NumberEdges:	3472
DepotNodeNumber:	228
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	10	2	3	67	0	0
1	11	3	4	44	0	0
2	12	5	6	95	0	0
3	13	6	7	42	0	0
4	14	8	9	141	0	0
5	16	5	10	17	0	0
6	18	11	12	13	0	0
7	21	13	14	515	1522	3
8	22	15	16	1567	0	0
9	46	22	23	296	0	0
10	48	24	25	595	0	0
11	49	24	22	13	0	0
12	52	22	26	424	0	0
13	53	27	28	202	0	0
14	57	29	30	30	0	0
15	64	31	32	110	1122	1
16	67	33	34	291	8256	17
17	68	34	35	63	1122	1
18	69	36	37	284	0	0
19	71	38	39	24	0	0
20	76	40	41	142	2618	2
21	79	42	43	117	162	1
22	81	44	45	255	0	0
23	82	45	46	497	0	0
24	92	48	49	55	0	0
25	93	48	50	130	0	0
26	94	51	50	18	0	0
27	95	52	53	367	0	0
28	96	51	52	12	0	0
29	99	54	55	38	162	1
30	105	56	57	166	8092	6
31	111	58	59	68	0	0
32	122	60	61	25	2244	2
33	127	62	63	38	5610	5
34	132	64	65	23	0	0
35	138	68	69	46	0	0
36	141	70	71	36	0	0
37	144	71	72	28	6732	6
38	146	73	74	126	12344	5
39	147	74	75	61	0	0
40	149	76	77	11	408	2
41	150	77	78	103	561	1
42	151	79	80	1363	0	0
43	163	81	82	81	655	1
44	168	83	84	129	1360	2
45	169	84	85	47	0	0
46	179	86	87	12	188	1
47	191	91	92	71	0	0
48	192	92	93	79	1310	1
49	194	94	95	301	0	0
50	195	96	97	28	0	0
51	198	98	99	15	0	0
52	210	102	103	185	0	0
53	213	105	106	22	0	0
54	214	106	107	91	0	0
55	216	108	109	403	3928	3
56	225	111	112	64	0	0
57	231	116	117	260	3298	3
58	232	117	118	209	0	0
59	235	120	121	77	2618	2
60	236	121	122	85	0	0
61	237	123	120	19	0	0
62	238	124	123	61	1310	1
63	239	125	124	39	2618	2
64	240	125	126	69	1310	1
65	242	127	128	16	188	1
66	244	129	130	50	0	0
67	245	131	132	4	0	0
68	250	134	135	14	0	0
69	252	136	134	52	0	0
70	260	138	139	17	0	0
71	261	138	140	26	2244	2
72	273	141	142	55	0	0
73	279	143	144	116	0	0
74	285	146	147	280	0	0
75	286	148	144	86	0	0
76	287	144	147	161	0	0
77	322	153	154	42	0	0
78	326	155	156	28	0	0
79	328	157	158	66	0	0
80	332	159	160	298	0	0
81	333	161	162	145	0	0
82	334	163	164	426	0	0
83	346	165	166	151	0	0
84	347	167	151	63	8016	7
85	350	168	169	98	0	0
86	351	168	170	57	0	0
87	356	171	172	93	0	0
88	360	175	176	16	0	0
89	365	174	177	73	0	0
90	367	178	173	706	655	1
91	381	175	171	77	0	0
92	436	180	181	536	680	2
93	453	184	185	30	2244	2
94	468	186	187	109	5610	5
95	480	189	190	44	0	0
96	485	192	193	339	0	0
97	495	187	195	8	2244	2
98	503	196	197	19	0	0
99	504	197	198	160	0	0
100	505	198	199	1121	0	0
101	512	200	201	48	0	0
102	514	203	204	503	0	0
103	515	199	205	111	0	0
104	523	206	207	84	0	0
105	533	204	198	890	0	0
106	538	208	205	259	0	0
107	544	209	210	108	0	0
108	545	206	211	121	0	0
109	551	214	215	345	0	0
110	555	214	216	434	0	0
111	566	220	221	594	0	0
112	571	224	225	679	0	0
113	572	226	219	650	0	0
114	573	226	224	76	0	0
115	575	220	222	111	0	0
116	589	7	229	58	0	0
117	595	230	231	19	162	1
118	597	232	233	65	0	0
119	607	234	189	42	2244	2
120	612	8	235	17	0	0
121	613	7	236	96	0	0
122	615	237	238	54	7854	6
123	617	239	240	55	0	0
124	619	241	239	43	561	1
125	620	242	243	40	0	0
126	621	243	244	77	162	1
127	641	249	250	35	0	0
128	646	251	252	263	0	0
129	654	255	256	518	0	0
130	663	232	258	64	0	0
131	678	259	260	64	0	0
132	679	261	262	32	2244	2
133	681	263	4	108	13464	6
134	682	264	265	41	0	0
135	684	266	267	153	6239	7
136	685	267	182	35	0	0
137	686	186	268	89	162	1
138	701	269	270	110	0	0
139	705	272	200	858	0	0
140	706	273	274	26	0	0
141	712	275	276	123	561	1
142	717	277	278	78	561	1
143	729	212	281	981	0	0
144	730	282	283	478	0	0
145	732	213	284	523	0	0
146	736	257	287	42	0	0
147	737	287	288	46	2618	2
148	745	291	292	180	323	2
149	747	293	294	123	0	0
150	748	294	291	817	0	0
151	751	295	296	168	1309	2
152	757	297	298	142	0	0
153	758	298	299	122	0	0
154	759	300	15	401	0	0
155	764	301	302	38	2244	2
156	765	303	304	59	0	0
157	766	304	305	69	0	0
158	767	306	307	286	0	0
159	778	309	310	177	0	0
160	790	312	313	131	0	0
161	791	314	315	190	1965	2
162	792	316	317	849	0	0
163	794	318	319	289	0	0
