ProblemType:	CARP
NumberNodes:	2134
NumberEdges:	2411
DepotNodeNumber:	167
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	21	0	1	86	204	1
1	29	2	3	109	502	3
2	30	3	4	62	187	2
3	33	5	6	94	298	2
4	35	7	8	277	0	0
5	36	7	9	113	0	0
6	37	10	11	98	0	0
7	102	12	13	64	0	0
8	103	14	15	128	2220	9
9	104	15	16	54	1122	6
10	130	17	18	101	306	3
11	131	19	20	30	119	1
12	132	21	22	83	187	2
13	133	23	24	135	204	1
14	138	25	26	22	1811	17
15	141	27	28	241	204	1
16	142	28	29	18	0	0
17	143	30	31	119	0	0
18	146	32	33	65	791	7
19	147	34	35	27	340	1
20	148	35	36	10	0	0
21	149	37	38	10	94	1
22	154	41	42	39	2754	4
23	155	43	44	10	187	2
24	156	44	45	37	94	1
25	164	33	46	30	187	2
26	165	46	47	17	187	2
27	166	48	49	98	1887	7
28	167	49	50	19	0	0
29	168	51	52	12	0	0
30	169	52	53	33	204	1
31	172	54	55	131	1751	7
32	173	55	56	9	0	0
33	174	56	57	16	204	1
34	175	57	58	77	3179	12
35	181	59	60	454	204	1
36	182	61	62	233	0	0
37	183	63	64	87	0	0
38	184	64	65	950	1370	11
39	187	66	67	15	340	1
40	188	67	68	55	204	1
41	189	69	70	42	527	3
42	195	71	72	716	94	1
43	198	72	73	172	94	1
44	199	73	74	114	408	1
45	200	39	75	143	1887	10
46	302	43	76	64	3060	3
47	303	77	78	6	0	0
48	304	78	79	9	187	2
49	305	26	80	48	375	4
50	306	80	36	24	374	4
51	307	81	82	7	0	0
52	308	82	83	32	187	2
53	309	83	84	6	0	0
54	310	84	37	34	468	5
55	311	85	86	226	0	0
56	312	86	87	172	612	2
57	334	89	90	62	0	0
58	335	90	91	239	204	1
59	336	92	93	624	0	0
60	338	76	94	17	680	1
61	339	94	41	54	1913	4
62	342	95	96	48	408	2
63	343	97	98	83	0	0
64	347	99	100	527	0	0
65	349	101	102	20	0	0
66	350	102	103	25	119	1
67	360	104	105	549	204	1
68	369	106	107	131	408	2
69	370	108	109	172	0	0
70	378	110	111	271	119	1
71	379	112	113	75	298	2
72	380	114	115	208	94	1
73	381	109	116	84	94	1
74	382	117	118	280	94	1
75	413	119	120	112	204	1
76	421	121	122	18	0	0
77	422	122	123	56	187	2
78	427	124	125	179	2101	10
79	428	126	127	28	408	2
80	429	128	129	140	782	6
81	430	130	131	160	918	6
82	431	132	133	291	408	2
83	455	134	135	144	119	1
84	468	136	137	311	596	2
85	472	141	142	13	0	0
86	473	142	143	1624	391	3
87	474	144	145	186	0	0
88	475	146	147	17	0	0
89	478	148	149	74	0	0
90	480	150	151	17	0	0
91	481	151	152	92	3180	17
92	486	144	154	91	94	1
93	487	155	156	4	0	0
94	488	156	144	233	94	1
95	489	147	157	88	204	1
96	490	147	158	101	0	0
97	491	158	159	170	204	1
98	492	160	161	565	1156	4
99	493	162	163	74	204	1
100	494	164	165	91	94	1
101	495	164	166	255	204	1
102	496	167	168	385	187	2
103	497	169	170	97	408	1
104	498	171	172	86	204	1
105	500	173	174	95	94	1
106	502	61	175	83	204	1
107	518	176	177	183	323	2
108	526	178	179	96	408	1
109	527	59	180	94	204	1
110	528	181	182	189	340	1
111	530	183	184	61	94	1
112	537	185	186	381	323	2
113	541	187	188	182	0	0
114	542	189	190	327	94	1
115	594	191	192	90	204	1
116	597	193	194	382	119	1
117	598	195	196	66	94	1
118	609	197	198	108	94	1
119	673	199	200	107	204	1
120	674	201	202	171	527	2
121	675	203	204	140	408	2
122	676	205	206	102	204	1
123	688	207	208	131	188	1
124	710	209	210	137	188	1
125	711	211	212	132	204	1
126	712	211	213	221	94	1
127	713	214	215	68	188	1
128	716	216	217	147	94	1
129	737	218	219	52	204	1
130	772	220	221	29	0	0
131	773	222	223	4	0	0
132	774	223	224	80	502	3
133	775	225	226	76	119	1
134	776	226	227	68	417	3
135	777	228	229	75	298	2
136	778	230	231	3	562	3
137	779	231	232	32	374	2
138	780	232	233	108	621	4
139	781	234	235	567	0	0
140	782	236	237	443	0	0
141	784	238	239	627	0	0
142	787	161	240	332	204	1
143	789	241	242	93	204	1
144	794	243	244	134	486	3
145	801	245	246	208	94	1
