ProblemType:	CARP
NumberNodes:	782
NumberEdges:	1030
DepotNodeNumber:	119
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	58	0	0
1	1	2	3	47	255	1
2	2	4	5	25	102	1
3	6	6	7	26	102	1
4	12	0	8	32	0	0
5	17	10	0	36	0	0
6	19	11	1	27	0	0
7	21	9	7	43	0	0
8	22	7	11	46	0	0
9	24	1	10	23	0	0
10	26	3	9	11	0	0
11	28	12	13	27	0	0
12	29	14	15	218	2737	13
13	31	14	13	140	2093	21
14	44	16	17	87	0	0
15	56	18	19	67	0	0
16	57	20	19	17	0	0
17	59	21	20	52	102	1
18	60	18	22	52	0	0
19	61	23	18	47	0	0
20	189	30	31	27	0	0
21	190	31	32	222	1020	4
22	214	34	35	40	714	4
23	293	40	41	28	765	3
24	294	42	43	39	765	3
25	295	43	44	46	0	0
26	300	45	40	28	0	0
27	321	46	47	40	2040	8
28	324	48	49	112	0	0
29	325	50	48	84	0	0
30	326	51	52	73	0	0
31	329	53	54	8	255	1
32	330	52	54	71	0	0
33	333	52	47	51	0	0
34	336	50	47	262	0	0
35	338	48	55	20	0	0
36	364	57	58	19	0	0
37	369	56	61	62	255	1
38	374	57	63	29	204	2
39	381	59	64	74	510	2
40	454	69	70	98	255	1
41	558	75	76	75	2040	8
42	561	75	77	13	0	0
43	564	78	79	163	0	0
44	565	76	79	159	0	0
45	567	76	77	66	0	0
46	569	81	82	725	0	0
47	570	77	82	224	0	0
48	572	80	83	14	0	0
49	575	84	78	24	0	0
50	576	84	85	365	0	0
51	577	86	80	19	0	0
52	639	92	93	43	0	0
53	647	94	96	346	0	0
54	653	90	91	207	255	1
55	704	99	100	32	102	1
56	714	101	103	91	0	0
57	716	103	104	51	0	0
58	728	106	103	56	0	0
59	740	107	108	50	510	2
60	741	108	109	35	0	0
61	760	13	112	105	765	3
62	761	112	113	59	0	0
63	795	116	117	630	0	0
64	832	119	120	208	255	1
65	833	121	119	68	255	1
66	887	126	127	63	0	0
67	891	129	130	64	510	2
68	893	78	126	21	0	0
69	894	126	84	27	0	0
70	898	131	132	139	1020	2
71	901	133	134	100	1020	2
72	902	135	132	63	510	1
73	903	132	134	43	510	1
74	945	136	137	85	510	2
75	976	139	138	79	0	0
76	988	141	142	328	0	0
77	991	142	143	5	0	0
78	993	144	145	74	0	0
79	999	142	146	187	0	0
80	1070	36	152	311	0	0
81	1147	155	121	181	0	0
82	1148	155	38	287	0	0
83	1171	157	89	772	0	0
84	1179	158	159	284	0	0
85	1180	160	158	238	0	0
86	1184	161	162	308	408	4
87	1185	161	159	78	0	0
88	1193	159	164	66	0	0
89	1216	120	160	32	0	0
90	1239	167	168	348	0	0
91	1240	169	170	66	0	0
92	1252	172	171	93	0	0
93	1256	173	174	48	255	1
94	1328	177	178	161	0	0
95	1352	179	185	57	0	0
96	1367	188	186	93	0	0
97	1393	191	192	13	0	0
98	1395	193	191	15	0	0
99	1408	195	194	19	0	0
100	1411	196	194	22	0	0
101	1412	197	198	138	102	1
102	1415	197	199	35	0	0
103	1416	200	201	24	255	1
104	1419	197	202	326	0	0
105	1420	200	203	14	0	0
106	1421	204	203	9	0	0
107	1423	206	199	42	0	0
108	1425	203	207	116	0	0
109	1430	199	208	263	0	0
110	1432	204	200	19	0	0
111	1434	205	204	69	0	0
112	1435	209	205	53	0	0
113	1438	210	209	32	255	1
114	1520	212	213	60	102	1
115	1529	213	214	372	0	0
116	1532	215	214	73	0	0
117	1535	215	216	47	0	0
118	1537	217	215	75	0	0
119	1597	218	219	52	0	0
120	1622	220	221	37	102	1
121	1627	202	222	125	0	0
122	1630	221	223	203	0	0
123	1637	226	206	74	0	0
124	1640	228	229	53	0	0
125	1645	230	229	20	0	0
126	1654	229	218	41	0	0
127	1655	202	226	50	0	0
128	1682	232	233	11	0	0
129	1686	234	235	37	0	0
130	1687	236	234	15	255	1
131	1689	233	236	87	0	0
132	1690	235	237	10	255	1
133	1719	239	238	19	0	0
134	1720	240	238	16	0	0
135	1754	242	243	54	0	0
136	1770	246	247	29	255	1
137	1781	250	251	56	0	0
138	1785	252	250	24	102	1
139	1786	253	252	98	255	1
140	1787	253	254	112	0	0
141	1808	255	256	31	204	2
142	1846	257	258	38	0	0
143	1880	259	260	124	0	0
144	1883	262	263	131	0	0
145	1885	260	79	122	255	1
146	1920	267	17	60	204	2
147	2046	272	273	29	0	0
148	2076	272	277	55	0	0
149	2131	278	279	263	0	0
150	2159	280	281	48	1992	9
151	2161	281	282	145	0	0
152	2178	172	174	25	0	0
153	2201	283	284	44	102	1
