ProblemType:	CARP
NumberNodes:	915
NumberEdges:	1030
DepotNodeNumber:	94
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	355	0	1	55	0	0
1	1119	2	3	116	612	3
2	1127	4	5	27	604	5
3	1136	6	7	44	7140	7
4	1459	8	9	28	187	2
5	1537	10	11	46	306	3
6	1538	12	13	172	0	0
7	1540	14	12	172	0	0
8	1543	15	16	33	282	2
9	1544	11	15	6	0	0
10	1545	15	17	29	213	2
11	1547	13	18	173	0	0
12	1817	19	20	75	800	3
13	1822	21	22	55	187	2
14	1823	18	14	173	0	0
15	1828	23	24	22	94	1
16	1830	25	10	42	562	5
17	1984	26	27	46	188	1
18	1997	30	31	50	187	2
19	1998	31	32	43	1395	4
20	1999	31	33	67	391	3
21	2000	34	35	48	816	4
22	2001	36	37	56	323	2
23	2002	38	39	47	401	3
24	2003	40	41	68	357	2
25	2004	42	43	38	307	2
26	2289	44	45	78	1302	6
27	2299	46	47	111	4362	6
28	2301	48	49	84	7140	7
29	2303	50	51	85	1020	1
30	2304	52	50	42	0	0
31	2393	53	54	142	2296	9
32	2394	55	56	112	1624	7
33	4122	57	58	43	2227	4
34	4123	58	59	71	2040	2
35	4189	60	61	62	408	2
36	4190	61	62	65	1258	4
37	4196	63	64	73	0	0
38	4197	65	66	104	1309	6
39	4198	66	67	72	119	1
40	4269	52	68	45	0	0
41	4296	69	53	65	204	1
42	4297	53	70	150	715	4
43	4300	71	72	32	510	1
44	4503	68	73	30	94	1
45	4504	74	75	181	204	1
46	4505	76	77	502	188	1
47	4526	78	79	81	7668	14
48	4527	80	81	60	0	0
49	4528	82	80	121	561	4
50	4529	83	84	164	2176	13
51	4530	85	86	75	748	6
52	4538	87	88	42	0	0
53	4540	89	90	16	0	0
54	4541	90	91	194	2389	6
55	4542	92	93	44	0	0
56	4543	93	94	86	1360	5
57	4544	95	96	2	0	0
58	4545	97	98	66	4556	8
59	4546	98	95	37	2822	5
60	4547	99	100	18	680	1
61	4548	101	102	14	204	1
62	4549	102	103	191	7463	29
63	4550	104	105	49	970	6
64	4551	105	106	16	766	4
65	4552	107	108	75	0	0
66	4553	109	110	45	2338	13
67	4554	111	112	43	94	1
68	4555	113	114	38	0	0
69	4556	115	116	55	0	0
70	4557	117	115	40	792	3
71	4559	118	119	72	408	1
72	4560	119	120	34	596	3
73	4561	121	122	30	417	3
74	4579	123	124	15	374	2
75	4580	124	125	54	468	3
76	4581	125	126	83	0	0
77	4583	127	128	253	2679	18
78	4584	129	126	60	468	3
79	4585	130	131	96	1233	6
80	4586	131	129	5	408	1
81	4587	132	133	14	0	0
82	4588	133	134	41	612	2
83	4589	135	136	57	766	4
84	4592	137	138	28	731	3
85	4594	63	139	62	1394	3
86	4595	139	140	19	0	0
87	4597	141	142	49	672	4
88	4599	122	143	32	391	3
89	4602	144	145	9	204	1
90	4605	146	147	30	800	3
91	4616	148	149	80	613	4
92	4617	149	150	134	1939	11
93	4618	151	152	48	391	3
94	4620	153	154	29	2806	17
95	4621	155	156	51	468	3
96	4623	157	158	34	587	6
97	4624	159	160	5	0	0
98	4626	77	161	118	0	0
99	4628	162	163	5	0	0
100	4629	164	165	28	188	1
101	4630	165	166	28	282	2
102	4631	166	167	26	188	1
103	4632	168	169	68	0	0
104	4634	170	171	72	282	2
105	4643	172	173	157	2006	7
106	4644	173	174	33	2414	6
107	4646	175	176	90	1216	8
108	4647	177	175	58	672	4
109	4648	178	179	48	188	1
110	4649	180	181	49	919	5
111	4650	158	182	14	400	4
112	4651	160	183	61	605	4
113	4654	184	185	35	1360	2
114	4655	186	187	53	2814	9
115	4656	187	188	42	1938	5
116	4665	190	78	91	392	2
117	4669	191	192	281	1020	1
118	4670	193	194	22	204	1
119	4673	195	81	52	94	1
120	4674	196	197	55	0	0
121	4677	198	199	74	5100	5
122	4787	200	201	20	0	0
123	4788	202	203	28	0	0
124	4789	204	205	106	1224	6
125	4790	206	207	27	910	5
126	4794	208	209	23	188	1
127	4797	210	180	87	1302	5
128	4843	212	89	28	5848	9
129	4844	213	214	26	0	0
130	4845	215	216	56	596	3
131	4846	217	218	12	0	0
132	4872	219	220	103	2449	8
133	4873	221	222	37	562	3
134	4874	223	221	43	1156	7
135	4876	224	0	20	188	1
136	4877	224	225	43	0	0
137	4878	0	225	19	0	0
138	4879	225	75	33	0	0
139	5996	226	215	19	408	1
140	5997	227	228	63	655	5
141	5998	229	230	26	375	3
142	5999	230	231	27	782	3
143	6000	232	233	31	740	3
144	6001	233	234	26	706	4
145	6002	235	236	34	748	4
146	6010	237	238	145	1930	13
147	6011	211	239	72	408	2
148	6012	239	240	103	986	4
149	6013	240	238	21	188	1
150	6014	238	241	70	281	3
151	6015	242	243	67	187	2
152	6016	156	244	55	0	0
153	6042	237	245	104	0	0
