ProblemType:	CARP
NumberNodes:	2018
NumberEdges:	2655
DepotNodeNumber:	1504
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	9	3	4	41	16320	8
1	37	7	8	98	0	0
2	63	15	16	71	0	0
3	65	15	17	51	0	0
4	66	17	18	161	2040	2
5	67	19	20	58	0	0
6	68	20	21	27	2040	2
7	73	22	23	8	0	0
8	74	24	25	81	0	0
9	76	25	26	50	0	0
10	78	22	27	102	0	0
11	99	29	30	267	0	0
12	103	33	34	128	510	1
13	104	34	35	54	323	2
14	137	36	37	388	0	0
15	138	38	39	22	94	1
16	146	40	41	65	94	1
17	154	42	43	39	2550	3
18	155	44	45	10	0	0
19	156	45	46	37	94	1
20	162	47	48	1355	0	0
21	166	49	50	98	408	2
22	167	50	51	19	0	0
23	213	60	61	425	0	0
24	214	62	63	611	0	0
25	231	27	67	57	1020	1
26	250	60	72	1009	0	0
27	251	72	73	488	0	0
28	255	59	73	729	0	0
29	256	75	76	966	0	0
30	292	85	86	77	3230	4
31	293	86	87	36	0	0
32	302	44	90	64	3060	3
33	303	91	92	15	0	0
34	305	39	93	48	94	1
35	306	93	94	24	0	0
36	311	96	97	226	0	0
37	312	97	98	172	408	1
38	318	100	101	76	408	2
39	319	102	103	18	188	1
40	327	104	105	9	3060	3
41	329	104	106	39	0	0
42	338	90	108	17	680	1
43	339	108	42	54	1700	2
44	342	109	110	101	0	0
45	343	111	112	83	0	0
46	349	114	115	45	0	0
47	351	116	117	114	0	0
48	355	118	119	55	0	0
49	417	121	122	298	918	2
50	430	123	124	160	0	0
51	438	127	126	96	0	0
52	444	129	130	172	0	0
53	445	131	132	131	4760	7
54	446	133	134	240	0	0
55	450	136	137	292	0	0
56	451	138	139	87	0	0
57	452	140	141	23	188	1
58	454	142	143	22	0	0
59	478	147	148	74	0	0
60	480	149	150	17	0	0
61	481	150	151	92	3180	17
62	507	154	155	40	1530	2
63	509	156	157	32	0	0
64	554	160	161	48	816	2
65	573	165	166	33	0	0
66	574	166	167	27	0	0
67	578	169	170	77	1020	1
68	579	170	171	47	0	0
69	605	10	177	489	1020	2
70	642	178	179	147	510	1
71	645	23	180	135	680	1
72	650	181	182	40	3060	3
73	657	184	185	23	94	1
74	664	187	188	41	0	0
75	665	188	189	39	698	2
76	667	190	191	63	188	1
77	672	192	193	249	816	2
78	689	194	195	66	0	0
79	691	196	194	253	510	1
80	709	198	199	255	0	0
81	724	201	202	51	510	1
82	725	202	203	46	408	2
83	730	204	205	81	0	0
84	739	206	205	82	0	0
85	740	206	207	152	510	1
86	745	208	209	71	510	1
87	747	210	211	120	0	0
88	748	212	213	132	0	0
89	749	214	212	35	1020	1
