ProblemType:	CARP
NumberNodes:	3176
NumberEdges:	3505
DepotNodeNumber:	132
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	10854	0	1	14	204	1
1	10855	2	3	14	0	0
2	10859	4	5	309	0	0
3	10860	6	7	37	0	0
4	10861	7	8	40	0	0
5	10863	9	10	260	2057	10
6	10864	10	11	97	162	1
7	10867	12	13	21	323	2
8	10868	13	14	39	0	0
9	10869	15	16	43	570	2
10	10870	17	16	12	0	0
11	10871	16	18	46	162	1
12	10876	19	20	68	0	0
13	10877	20	21	69	646	4
14	10880	22	23	68	850	5
15	10881	24	25	45	969	6
16	10884	26	27	97	2593	9
17	10885	28	29	31	323	2
18	10886	29	30	4	162	1
19	10887	31	32	98	1122	1
20	10889	32	33	56	663	3
21	10903	36	37	368	442	3
22	10905	38	39	300	808	5
23	10906	40	41	110	0	0
24	10907	42	43	101	10536	12
25	10908	42	44	93	0	0
26	10909	45	46	94	944	5
27	10910	46	47	13	0	0
28	10911	48	49	30	204	1
29	10912	49	50	63	162	1
30	10913	51	52	178	0	0
31	10915	53	54	9	0	0
32	10916	53	55	38	502	2
33	10917	56	57	120	119	1
34	10918	58	59	428	162	1
35	10919	60	61	428	162	1
36	10920	62	63	164	162	1
37	10921	64	65	151	204	1
38	10923	66	67	164	366	2
39	10924	68	69	96	162	1
40	10925	70	71	231	119	1
41	10926	72	73	70	366	2
42	10927	74	75	169	162	1
43	10928	76	77	430	162	1
44	10929	78	79	76	94	1
45	10930	80	81	426	162	1
46	10931	82	83	244	162	1
47	10935	84	85	70	162	1
48	10936	86	87	317	162	1
49	10937	88	89	224	162	1
50	10938	90	91	146	162	1
51	10939	92	93	100	162	1
52	10940	94	95	185	162	1
53	10941	96	97	109	204	1
54	10944	98	99	677	204	1
55	10945	100	101	301	162	1
56	10946	102	103	167	162	1
57	10947	104	105	163	162	1
58	10948	106	107	176	281	2
59	10949	108	109	495	162	1
60	10950	110	111	154	323	2
61	10951	112	113	276	162	1
62	10955	114	115	199	162	1
63	10958	116	117	258	162	1
64	10959	118	119	310	162	1
65	10960	120	121	247	162	1
66	10961	122	123	144	162	1
67	10962	124	125	184	162	1
68	10964	126	127	178	323	2
69	10965	128	129	194	204	1
70	10966	130	131	197	323	2
71	10967	132	133	362	340	1
72	10968	134	135	139	162	1
73	10969	136	137	216	162	1
74	10970	138	139	41	162	1
75	10971	140	141	146	0	0
76	10972	142	143	83	162	1
77	10974	144	145	335	162	1
78	10975	146	147	769	323	2
79	10976	148	149	722	324	2
80	10977	150	151	255	485	3
81	10979	152	153	81	204	1
82	10980	154	155	352	204	1
83	10981	41	156	107	162	1
84	10984	157	123	112	162	1
85	10986	158	159	157	187	2
86	10989	162	163	250	0	0
87	10990	163	164	341	162	1
88	10991	165	108	5	0	0
89	10992	108	166	443	162	1
90	10993	167	148	17	0	0
91	10994	148	142	160	162	1
92	10997	168	169	5	0	0
93	10998	169	170	123	204	1
94	10999	134	171	85	162	1
95	11000	172	141	1144	0	0
96	11001	173	174	5	0	0
97	11002	174	175	78	486	2
98	11003	176	177	33	162	1
99	11007	178	179	130	1777	9
100	11008	179	180	268	3232	19
101	11009	181	182	140	1054	6
102	11010	182	183	61	646	4
103	11011	184	185	23	1132	6
104	11012	183	184	144	1335	8
105	11015	37	186	271	1360	2
106	11016	186	36	113	647	3
107	11018	187	188	162	6054	13
108	11023	189	190	135	612	3
109	11024	190	191	4	162	1
110	11025	192	193	35	2244	2
111	11026	194	195	50	808	5
112	11027	195	196	22	162	1
113	11028	196	197	30	510	4
114	11030	198	199	51	0	0
115	11031	198	200	65	366	2
116	11034	201	202	149	323	2
117	11035	203	204	224	7032	12
118	11036	204	205	37	0	0
119	11037	206	207	41	366	2
120	11038	207	208	14	0	0
121	11039	209	210	36	0	0
122	11040	210	211	71	162	1
123	11041	0	212	4	0	0
124	11042	212	48	111	1462	8
125	11045	25	213	27	578	4
126	11046	213	55	16	323	2
127	11049	214	215	3	0	0
128	11050	215	3	77	978	4
129	11053	216	217	129	935	5
130	11056	218	219	98	0	0
131	11058	220	221	8	0	0
132	11060	222	223	61	0	0
133	11062	224	225	26	485	3
134	11063	226	227	38	94	1
135	11064	228	48	49	0	0
136	11066	0	229	22	366	2
137	11068	230	231	30	570	3
138	11069	232	233	28	323	2
139	11070	234	235	112	340	1
140	11072	236	237	19	162	1
141	11073	238	239	42	2620	1
142	11074	240	241	12	680	1
143	11075	242	243	69	663	3
