Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,tolerance,No. of Threads,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,gap,Comments
1.00,CARP_F6_p_graph.dat,502.00,741.00,2.00,0.01,unlimited,42179.00,6.71,42186.00,427501.00,"""integer optimal",0.00,
2.00,CARP_F6_p_graph.dat,502.00,741.00,2.00,0.10,unlimited,25620.68,6.71,25627.00,425897.00,"""integer optimal",0.01,
3.00,CARP_F6_p_graph.dat,502.00,741.00,2.00,0.50,unlimited,18941.89,6.71,18949.00,389625.00,"""integer optimal",0.00,
4.00,CARP_F6_p_graph.dat,502.00,741.00,4.00,0.01,unlimited,11554.00,6.71,11560.00,237008.00,"""integer optimal",0.01,
5.00,CARP_F6_p_graph.dat,502.00,741.00,4.00,0.10,unlimited,16621.79,6.71,16629.00,229996.00,"""integer optimal",0.01,
6.00,CARP_F6_p_graph.dat,502.00,741.00,4.00,0.50,unlimited,3542.18,6.71,3549.00,205679.00,"""integer optimal",0.01,
7.00,CARP_F6_p_graph.dat,502.00,741.00,6.00,0.01,unlimited,43287.00,6.71,43294.00,184601.00,time limit exceeded,7.55,
8.00,CARP_F6_p_graph.dat,502.00,741.00,6.00,0.10,unlimited,13152.77,6.71,13159.00,173171.00,"""integer optimal",0.00,
9.00,CARP_F6_p_graph.dat,502.00,741.00,6.00,0.50,unlimited,1724.69,6.71,1731.00,156182.00,"""integer optimal",0.00,
10.00,CARP_F6_p_graph.dat,502.00,741.00,8.00,0.01,unlimited,43303.00,6.71,43310.00,169809.00,time limit exceeded,12.31,
11.00,CARP_F6_p_graph.dat,502.00,741.00,8.00,0.10,unlimited,43233.23,6.71,43240.00,153880.00,time limit exceeded,7.04,
12.00,CARP_F6_p_graph.dat,502.00,741.00,8.00,0.50,unlimited,1024.32,6.71,1031.00,121919.00,"""integer optimal",0.01,
13.00,CARP_F6_p_graph.dat,502.00,741.00,10.00,0.01,unlimited,43277.00,6.71,43284.00,133713.00,time limit exceeded,6.71,
14.00,CARP_F6_p_graph.dat,502.00,741.00,10.00,0.10,unlimited,43231.97,6.71,43239.00,123326.00,time limit exceeded,2.50,
