ProblemType:	CARP
NumberNodes:	191
NumberEdges:	267
DepotNodeNumber:	95
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	5	0	1	15	0	0
1	6	1	2	97	15476	28
2	7	3	4	89	0	0
3	11	5	6	54	0	0
4	12	7	8	204	3060	7
5	13	7	9	10	0	0
6	14	9	6	10	0	0
7	18	6	7	18	0	0
8	25	10	11	55	19235	30
9	26	12	10	50	0	0
10	28	13	14	99	40700	26
11	29	14	15	35	4350	2
12	33	4	16	39	11724	29
13	36	16	9	17	0	0
14	49	17	18	54	0	0
15	50	18	19	17	10200	5
16	94	20	21	105	0	0
17	132	22	23	182	6073	37
18	133	22	24	22	0	0
19	134	25	26	26	0	0
20	135	27	28	40	0	0
21	136	29	25	97	2128	12
22	137	26	27	102	1873	12
23	203	30	31	84	15155	23
24	204	32	33	96	3051	24
25	205	34	35	76	17060	13
26	206	33	34	26	0	0
27	209	36	37	31	0	0
28	211	38	39	56	16600	20
29	212	40	38	56	0	0
30	213	39	41	48	765	3
31	215	42	43	188	7402	44
32	216	44	43	13	0	0
33	217	45	46	112	3225	24
34	218	47	48	207	19806	31
35	219	48	49	98	13090	10
36	220	47	50	79	0	0
37	221	51	52	76	13260	11
38	222	53	54	238	28567	51
39	223	55	56	112	0	0
40	224	57	58	133	29931	35
41	225	59	17	356	25443	128
42	226	60	61	22	1020	1
43	227	61	62	162	13511	12
44	230	63	64	180	4250	10
45	231	65	66	23	466	4
46	232	67	65	105	2524	18
47	233	68	69	213	20695	96
48	234	70	71	79	4908	32
49	235	72	73	46	2668	16
50	239	74	75	86	9350	8
51	240	76	74	66	16513	12
52	313	77	78	120	9512	28
53	397	79	37	29	22765	8
54	398	80	36	30	425	2
55	399	81	80	34	4896	8
56	400	80	79	26	0	0
57	401	82	79	35	6545	12
58	402	83	68	46	3643	4
59	403	84	82	85	36680	34
60	404	81	85	152	32841	36
61	405	68	76	83	0	0
62	406	82	50	23	0	0
63	407	50	81	11	0	0
64	408	86	87	23	0	0
65	411	88	89	66	0	0
66	412	88	76	29	0	0
67	413	90	83	120	4802	8
68	414	91	92	77	15873	14
69	415	91	86	22	0	0
70	416	57	87	33	0	0
71	417	89	93	73	0	0
72	418	94	95	81	16318	32
73	419	94	92	18	0	0
74	420	96	54	94	1734	7
75	421	97	98	12	0	0
76	422	99	57	57	17255	12
77	423	95	98	89	0	0
78	424	97	96	94	0	0
79	425	100	84	141	16104	54
80	464	101	40	142	3208	19
81	486	93	12	89	0	0
82	487	99	12	25	0	0
83	488	100	54	40	0	0
84	489	102	103	130	0	0
85	497	104	34	194	0	0
86	498	26	105	103	1576	7
87	500	106	107	84	0	0
88	501	107	108	39	0	0
89	502	105	99	89	0	0
90	503	25	109	112	1843	13
91	504	110	25	146	2339	12
92	505	34	106	85	0	0
