ProblemType:	CARP
NumberNodes:	795
NumberEdges:	1106
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	41	0	0
1	11	5	6	54	0	0
2	12	7	8	204	2040	4
3	13	7	9	10	0	0
4	14	9	6	10	0	0
5	16	10	11	181	3060	6
6	20	12	13	122	3570	7
7	21	14	15	33	816	4
8	25	16	17	55	3570	7
9	26	18	16	50	0	0
10	27	19	20	174	2550	5
11	28	21	19	99	2040	4
12	29	19	22	35	1020	2
13	30	23	24	119	2754	6
14	31	25	23	55	0	0
15	32	23	26	141	0	0
16	38	27	28	215	1377	15
17	39	28	29	484	2052	43
18	48	30	31	79	561	2
19	52	34	35	152	2550	5
20	53	36	37	98	1020	2
21	54	38	39	86	0	0
22	57	40	34	61	0	0
23	58	41	37	119	510	1
24	59	42	43	107	1020	2
25	60	39	44	63	0	0
26	61	45	40	166	2958	7
27	62	44	46	23	0	0
28	63	47	48	79	0	0
29	65	49	50	140	3616	13
30	66	51	41	90	1020	2
31	67	52	53	226	510	1
32	68	46	54	84	1122	4
33	69	50	45	153	3264	7
34	70	37	49	111	2040	4
35	71	55	56	69	0	0
36	72	56	47	6	0	0
37	73	54	55	22	1020	2
38	74	53	51	111	3468	8
39	75	48	52	213	2040	4
40	76	43	38	45	0	0
41	77	57	58	75	0	0
42	78	59	60	147	0	0
43	81	61	62	58	0	0
44	82	63	64	55	1020	2
45	83	65	64	62	1530	3
46	84	66	67	19	3733	12
47	85	64	66	57	0	0
48	86	68	62	56	0	0
49	87	67	68	9	0	0
50	89	69	61	194	204	1
51	90	70	71	84	1530	3
52	91	72	73	121	306	6
53	92	74	75	47	1122	4
54	93	76	77	98	2040	4
55	94	78	79	105	0	0
56	95	80	81	6	0	0
57	100	82	83	244	3803	13
58	101	84	82	40	0	0
59	103	85	86	110	2448	6
60	105	76	87	24	0	0
61	106	88	89	104	1020	2
62	107	89	76	56	510	1
63	108	90	89	71	0	0
64	109	91	92	108	510	1
65	110	93	91	145	2754	6
66	111	94	95	71	1632	5
67	112	94	96	98	306	6
68	113	96	97	88	1020	11
69	114	98	94	67	1530	3
70	115	99	97	257	1173	23
71	116	100	101	97	1020	2
72	117	102	100	96	2346	7
73	118	103	104	150	1428	4
74	119	104	105	85	1530	3
75	121	107	106	28	0	0
76	122	108	107	93	1530	3
77	123	109	110	122	0	0
78	124	111	110	107	816	4
79	125	112	113	111	153	3
80	126	113	114	91	561	2
81	127	115	113	128	51	1
82	128	113	116	74	204	4
83	129	116	117	85	102	2
84	130	118	119	115	0	0
85	131	120	118	72	4202	9
86	132	121	122	182	2193	16
87	133	121	123	22	0	0
88	134	124	125	26	0	0
89	135	126	127	40	0	0
90	136	128	124	97	153	3
91	137	125	126	102	204	4
92	138	129	130	228	2958	22
93	139	131	132	197	4080	4
94	140	133	134	56	1938	8
95	142	83	135	11	0	0
96	143	136	137	133	2244	5
97	144	59	58	63	0	0
98	145	58	138	43	1020	2
99	146	139	86	30	0	0
100	147	57	140	66	0	0
101	148	141	142	72	0	0
102	149	143	144	16	0	0
103	150	145	146	47	0	0
104	151	139	147	93	2346	7
105	152	148	133	20	0	0
106	153	135	149	92	1530	3
107	154	142	150	88	918	3
108	155	146	144	56	0	0
109	156	141	151	9	0	0
110	157	149	148	81	204	1
111	158	152	136	143	3468	8
112	159	152	134	34	0	0
113	160	145	147	16	0	0
114	161	143	151	53	0	0
115	162	150	83	65	0	0
116	163	86	140	15	0	0
117	164	153	154	91	510	1
118	165	155	156	121	510	1
119	166	156	153	94	510	1
120	167	157	155	104	714	2
121	170	154	158	101	1224	3
122	172	159	158	144	714	2
123	173	160	161	83	204	1
124	174	135	30	154	1734	7
125	175	31	162	118	51	1
126	176	162	72	71	51	1
127	177	161	159	57	408	2
128	178	163	160	204	1938	5
129	179	72	163	139	918	3
130	180	164	158	480	0	0
131	183	165	166	49	1020	2
132	188	169	170	17	0	0
133	189	171	167	77	2754	6
134	190	172	173	125	3573	10
135	191	172	169	21	0	0
136	192	167	169	60	2040	4
137	193	173	174	70	1020	2
138	194	175	176	175	4947	22
139	195	177	178	37	51	1
140	196	179	180	176	765	15
141	197	180	130	157	1632	14
142	198	181	182	69	255	5
143	199	183	184	219	1020	2
144	200	185	186	10	0	0
145	201	186	184	170	3919	11
146	203	187	188	84	1530	3
147	204	189	190	96	306	6
148	205	191	192	76	1020	2
149	206	190	191	26	0	0
150	207	152	193	60	2244	5
151	208	193	194	90	612	3
152	211	195	196	56	2040	4
153	212	197	195	56	0	0
154	213	196	198	48	2040	4
155	215	199	200	188	867	17
156	216	201	200	13	0	0
157	217	202	203	112	306	6
158	218	204	205	207	3060	6
159	219	205	206	98	1020	2
160	220	204	207	79	0	0
161	221	208	209	76	1020	2
162	222	210	211	238	1581	13
163	223	212	213	112	0	0
164	224	214	215	133	3514	11
165	225	216	32	356	1150	42
166	226	217	218	22	0	0
167	227	218	219	162	4284	5
168	230	220	221	180	3774	8
169	231	222	223	23	51	1
170	232	224	222	105	255	5
171	233	225	226	213	3243	28
172	234	227	228	79	539	11
173	235	229	230	46	306	6
174	236	231	232	213	1275	13
175	237	233	234	273	3999	19
176	238	235	43	183	1836	6
177	239	236	237	86	1530	3
178	240	238	236	66	510	1
179	241	239	240	16	0	0
180	242	240	119	102	1020	2
181	244	241	242	142	6120	6
182	245	243	244	131	1071	9
183	246	245	246	129	1173	5
184	247	29	247	19	51	1
185	248	248	27	57	51	1
