Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup
1,CARP_S11_g_graph.dat,1564,1805,2,unlimited,5033.36,5738016,integer optimal solution,4949.17,149.97,5099.14,5738016,integer optimal solution,0.99
2,CARP_S11_g_graph.dat,1564,1805,10,unlimited,5065.14,1816055,integer optimal solution,4404.24,149.97,4554.21,1816055,integer optimal solution,1.11
3,CARP_S11_g_graph.dat,1564,1805,30,unlimited,5454.32,829184,integer optimal solution,2181.8,149.97,2331.77,829184,integer optimal solution,2.34
4,CARP_S11_g_graph.dat,1564,1805,40,unlimited,5815.32,670817,integer optimal solution,1879.41,149.97,2029.38,670817,integer optimal solution,2.87
5,CARP_S11_g_graph.dat,1564,1805,50,unlimited,10293.31,567819,integer optimal solution,2040.25,149.97,2190.22,567819,integer optimal solution,4.7
6,CARP_S11_g_graph.dat,1564,1805,100,unlimited,10370.7,299226,integer optimal solution,1555.04,149.97,1705.01,299226,"""integer optimal",6.08
7,CARP_S9_p_graph.dat,782,1030,2,unlimited,297.59,5208146,integer optimal solution,419.1,27.01,446.11,5208146,integer optimal solution,0.67
8,CARP_S9_p_graph.dat,782,1030,10,unlimited,328.99,1526355,integer optimal solution,420.76,27.01,447.77,1526355,integer optimal solution,0.73
9,CARP_S9_p_graph.dat,782,1030,30,unlimited,1621.94,579982,integer optimal solution,234.73,27.01,261.74,579982,integer optimal solution,6.2
10,CARP_S9_p_graph.dat,782,1030,40,unlimited,849.78,430343,integer optimal solution,197.96,27.01,224.97,430343,integer optimal solution,3.78
11,CARP_S9_p_graph.dat,782,1030,50,unlimited,1584.91,339414,integer optimal solution,193.97,27.01,220.98,339414,integer optimal solution,7.17
12,CARP_S9_p_graph.dat,782,1030,100,unlimited,7067.41,142426,integer optimal solution,199.82,27.01,226.83,142426,integer optimal solution,31.16
13,CARP_S9_g_graph.dat,1094,1447,2,unlimited,918.14,7202161,integer optimal solution,1321.7,62.29,1383.99,7202161,integer optimal solution,0.66
