ProblemType:	CARP
NumberNodes:	6648
NumberEdges:	7683
DepotNodeNumber:	4808
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	55	102	1
1	1	2	3	84	102	1
2	2	4	5	67	102	1
3	3	6	7	103	0	0
4	4	8	9	13	102	1
5	5	10	11	53	102	1
6	6	12	13	56	102	1
7	9	16	17	41	0	0
8	10	18	19	63	102	1
9	11	20	21	55	102	1
10	14	23	24	337	102	1
11	15	24	25	287	382	5
12	16	26	27	294	102	1
13	17	28	29	260	161	2
14	18	30	31	315	102	1
15	19	31	32	213	0	0
16	20	33	34	924	102	1
17	21	35	36	86	102	1
18	22	37	38	186	994	11
19	23	38	39	5	59	1
20	29	41	42	109	306	3
21	30	42	43	62	161	2
22	33	44	45	94	102	1
23	35	46	47	277	0	0
24	36	46	48	113	0	0
25	44	49	50	184	204	2
26	45	50	51	193	102	1
27	46	52	53	218	0	0
28	47	54	55	103	0	0
29	49	56	57	7	0	0
30	50	57	58	310	0	0
31	51	59	60	634	0	0
32	52	60	61	40	0	0
33	55	63	64	197	204	2
34	56	40	65	18	102	1
35	57	66	67	133	263	3
36	58	67	68	13	0	0
37	59	69	70	14	102	1
38	60	70	71	41	59	1
39	61	72	73	127	102	1
40	62	73	74	67	102	1
41	63	75	76	59	161	2
42	64	76	77	12	0	0
43	65	75	78	51	0	0
44	66	78	79	161	306	3
45	67	80	81	58	0	0
46	68	81	82	27	102	1
47	71	83	84	6	0	0
48	72	84	85	36	263	3
49	74	87	88	67	161	2
50	75	88	89	14	161	2
51	76	89	90	25	0	0
52	77	90	91	25	102	1
53	78	86	92	7	0	0
54	79	92	93	95	773	8
55	85	94	95	65	102	1
56	87	96	97	44	0	0
57	88	97	98	91	102	1
58	91	99	100	469	102	1
59	99	102	103	267	0	0
60	100	104	105	36	102	1
61	101	105	106	74	408	4
62	103	108	109	128	612	6
63	104	109	110	54	408	4
64	124	112	113	46	59	1
65	125	114	115	121	102	1
66	126	116	117	87	204	2
67	127	118	6	5	0	0
68	128	119	120	83	306	3
69	130	121	122	101	204	2
70	131	123	124	30	102	1
71	132	125	126	83	204	2
72	137	127	128	388	0	0
73	141	129	130	241	102	1
74	142	130	131	18	0	0
75	143	132	133	119	0	0
76	146	134	135	65	263	3
77	147	136	137	27	102	1
78	148	137	138	10	0	0
79	150	28	27	46	0	0
80	154	141	142	39	102	1
81	161	145	146	165	0	0
82	162	147	148	875	0	0
83	166	149	150	98	365	4
84	167	150	151	19	0	0
85	168	152	153	12	0	0
86	169	153	154	33	102	1
87	172	155	156	131	629	7
88	173	156	157	9	0	0
89	174	157	158	16	102	1
90	175	158	159	77	1181	12
91	178	160	161	77	0	0
