Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup,Instance_no_df2,Instance_name_df2,No. of Edges_df2,No. of Threads_df2,EPM_Time,Objective Function_EPM,Sol_Status_EPM
1,CARP_S11_g_graph.dat,1564,1805,2,unlimited,5033.36,5738016.0,integer optimal solution,4949.17,149.97,5099.14,5738016.0,integer optimal solution,0.99,43,CARP_S11_g_graph.dat,1805,unlimited,5272.79,5738016.0,integer optimal solution
2,CARP_S11_g_graph.dat,1564,1805,10,unlimited,5065.14,1816055.0,integer optimal solution,4404.24,149.97,4554.21,1816055.0,integer optimal solution,1.11,44,CARP_S11_g_graph.dat,1805,unlimited,5640.32,1816055.0,integer optimal solution
3,CARP_S11_g_graph.dat,1564,1805,30,unlimited,5454.32,829184.0,integer optimal solution,2181.8,149.97,2331.77,829184.0,integer optimal solution,2.34,45,CARP_S11_g_graph.dat,1805,unlimited,5427.4,829184.0,integer optimal solution
4,CARP_S11_g_graph.dat,1564,1805,40,unlimited,5815.32,670817.0,integer optimal solution,1879.41,149.97,2029.38,670817.0,integer optimal solution,2.87,46,CARP_S11_g_graph.dat,1805,unlimited,5435.47,670817.0,integer optimal solution
5,CARP_S11_g_graph.dat,1564,1805,50,unlimited,10293.31,567819.0,integer optimal solution,2040.25,149.97,2190.22,567819.0,integer optimal solution,4.7,47,CARP_S11_g_graph.dat,1805,unlimited,5810.49,567819.0,integer optimal solution
6,CARP_S11_g_graph.dat,1564,1805,100,unlimited,10370.7,299226.0,integer optimal solution,1555.04,149.97,1705.01,299226.0,"""integer optimal",6.08,48,CARP_S11_g_graph.dat,1805,unlimited,5395.9,299226.0,integer optimal solution
7,CARP_S9_p_graph.dat,782,1030,2,unlimited,297.59,5208146.0,integer optimal solution,419.1,27.01,446.11,5208146.0,integer optimal solution,0.67,25,CARP_S9_p_graph.dat,1030,unlimited,310.18,5208146.0,integer optimal solution
8,CARP_S9_p_graph.dat,782,1030,10,unlimited,328.99,1526355.0,integer optimal solution,420.76,27.01,447.77,1526355.0,integer optimal solution,0.73,26,CARP_S9_p_graph.dat,1030,unlimited,95.49,1526355.0,integer optimal solution
9,CARP_S9_p_graph.dat,782,1030,30,unlimited,1621.94,579982.0,integer optimal solution,234.73,27.01,261.74,579982.0,integer optimal solution,6.2,27,CARP_S9_p_graph.dat,1030,unlimited,62.02,579982.0,integer optimal solution
10,CARP_S9_p_graph.dat,782,1030,40,unlimited,849.78,430343.0,integer optimal solution,197.96,27.01,224.97,430343.0,integer optimal solution,3.78,28,CARP_S9_p_graph.dat,1030,unlimited,62.64,430343.0,integer optimal solution
