Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,EPM_Time,Objective Function_EPM,Sol_Status_EPM
1,CARP_F15_g_graph.dat,198,265,2,unlimited,6.27,111082.0,integer optimal solution
2,CARP_F15_g_graph.dat,198,265,10,unlimited,6.93,35977.0,integer optimal solution
3,CARP_F15_g_graph.dat,198,265,30,unlimited,4.13,11439.0,integer optimal solution
4,CARP_F15_g_graph.dat,198,265,40,unlimited,4.49,7575.0,integer optimal solution
5,CARP_F15_g_graph.dat,198,265,50,unlimited,4.19,4976.0,integer optimal solution
6,CARP_F15_g_graph.dat,198,265,100,unlimited,5.27,9.0,integer optimal solution
7,CARP_N17_g_graph.dat,268,305,2,unlimited,14.53,106992.0,integer optimal solution
8,CARP_N17_g_graph.dat,268,305,10,unlimited,12.11,33375.0,integer optimal solution
9,CARP_N17_g_graph.dat,268,305,30,unlimited,8.27,11845.0,integer optimal solution
10,CARP_N17_g_graph.dat,268,305,40,unlimited,8.25,8116.0,integer optimal solution
11,CARP_N17_g_graph.dat,268,305,50,unlimited,6.81,5793.0,integer optimal solution
12,CARP_N17_g_graph.dat,268,305,100,unlimited,7.23,731.0,integer optimal solution
13,CARP_K13_g_graph.dat,393,421,2,unlimited,21.34,760744.0,integer optimal solution
14,CARP_K13_g_graph.dat,393,421,10,unlimited,24.5,246581.0,integer optimal solution
15,CARP_K13_g_graph.dat,393,421,30,unlimited,17.29,83458.0,integer optimal solution
16,CARP_K13_g_graph.dat,393,421,40,unlimited,19.2,60820.0,integer optimal solution
17,CARP_K13_g_graph.dat,393,421,50,unlimited,16.89,44294.0,integer optimal solution
18,CARP_K13_g_graph.dat,393,421,100,unlimited,13.69,10478.0,integer optimal solution
19,CARP_O12_g_graph.dat,761,852,2,unlimited,106.55,1078267.0,integer optimal solution
20,CARP_O12_g_graph.dat,761,852,10,unlimited,49.5,381910.0,integer optimal solution
21,CARP_O12_g_graph.dat,761,852,30,unlimited,44.66,149069.0,integer optimal solution
22,CARP_O12_g_graph.dat,761,852,40,unlimited,48.98,111217.0,integer optimal solution
23,CARP_O12_g_graph.dat,761,852,50,unlimited,45.53,86216.0,integer optimal solution
