ProblemType:	CARP
NumberNodes:	1094
NumberEdges:	1447
DepotNodeNumber:	144
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	58	0	0
1	1	2	3	47	510	1
2	2	4	5	25	408	2
3	6	6	7	26	1020	1
4	12	0	8	32	0	0
5	17	10	0	36	0	0
6	19	11	1	27	0	0
7	21	9	7	43	0	0
8	22	7	11	46	0	0
9	24	1	10	23	0	0
10	26	3	9	11	0	0
11	28	12	13	27	0	0
12	29	14	15	218	11322	25
13	31	14	13	140	10192	39
14	44	16	17	87	0	0
15	56	18	19	67	0	0
16	57	20	19	17	0	0
17	59	21	20	52	1020	1
18	60	18	22	52	0	0
19	61	23	18	47	0	0
20	70	27	28	262	0	0
21	123	34	35	26	0	0
22	131	31	37	108	0	0
23	189	38	39	27	0	0
24	190	39	40	222	4080	4
25	214	42	43	40	561	4
26	265	46	48	239	0	0
27	293	51	52	28	4080	4
28	294	53	54	39	3060	3
29	295	54	55	46	0	0
30	300	56	51	28	0	0
31	321	57	58	40	7624	32
32	324	59	60	112	0	0
33	325	61	59	84	0	0
34	326	62	63	73	0	0
35	329	64	65	8	188	1
36	330	63	65	71	0	0
37	333	63	58	51	0	0
38	336	61	58	262	0	0
39	338	59	66	20	0	0
40	364	68	69	19	0	0
41	369	67	72	62	1020	1
42	374	68	75	29	408	2
43	379	75	74	146	1020	2
44	381	70	76	74	510	1
45	414	81	82	73	0	0
46	416	83	84	98	2040	2
47	421	85	84	118	0	0
48	422	85	81	268	0	0
49	426	86	27	77	0	0
50	454	88	89	98	1020	1
51	558	94	95	75	10200	18
52	561	94	96	13	0	0
53	564	97	98	163	0	0
54	565	95	98	159	0	0
55	567	95	96	66	0	0
56	569	100	101	725	0	0
57	570	96	101	224	0	0
58	572	99	102	14	0	0
59	575	103	97	24	0	0
60	576	103	104	365	0	0
61	577	105	99	19	0	0
62	607	109	108	448	0	0
63	627	111	112	125	816	2
64	630	113	112	153	0	0
65	639	116	117	43	0	0
66	647	118	120	346	0	0
67	653	114	115	207	238	1
68	704	123	124	32	510	1
69	714	125	127	91	0	0
70	716	127	128	51	0	0
71	728	130	127	56	0	0
72	740	131	132	50	1700	4
73	741	132	133	35	0	0
74	760	13	137	105	2040	2
75	761	137	138	59	0	0
76	795	141	142	630	0	0
77	832	144	145	208	408	1
78	833	146	144	68	816	2
79	834	147	148	31	816	2
80	838	150	148	121	0	0
81	840	148	149	196	0	0
82	862	154	155	69	816	2
83	863	156	155	121	0	0
84	864	153	156	107	0	0
85	865	156	157	345	0	0
86	887	159	160	63	0	0
87	891	162	163	64	2040	4
88	893	97	159	21	0	0
89	894	159	103	27	0	0
90	898	164	165	139	3060	3
91	901	166	167	100	4080	4
92	902	168	165	63	1020	2
93	903	165	167	43	1020	1
94	945	169	170	85	2040	2
95	964	34	172	22	0	0
96	965	172	35	24	0	0
97	976	174	173	79	0	0
98	988	178	179	328	0	0
99	991	179	180	5	0	0
100	993	181	182	74	0	0
101	999	179	183	187	0	0
102	1000	184	185	379	0	0
103	1070	44	192	311	0	0
104	1126	196	197	87	0	0
105	1127	198	197	9	0	0
106	1143	200	199	197	510	1
107	1147	201	146	181	0	0
108	1148	201	49	287	0	0
109	1149	49	202	197	0	0
110	1171	204	109	772	0	0
111	1179	205	206	284	0	0
112	1180	207	205	238	0	0
113	1184	208	209	308	1224	4
114	1185	208	206	78	0	0
115	1191	210	211	37	1020	1
116	1193	206	213	66	0	0
117	1196	211	214	542	0	0
118	1197	211	212	41	0	0
119	1216	145	207	32	0	0
120	1238	216	157	199	0	0
121	1239	216	217	348	0	0
122	1240	218	219	66	0	0
123	1252	221	220	93	0	0
124	1256	222	223	48	204	1
125	1312	108	232	24	0	0
126	1328	233	234	161	0	0
127	1352	235	242	57	0	0
128	1358	241	245	105	0	0
129	1367	246	243	93	0	0
130	1370	245	236	624	0	0
131	1393	250	251	13	0	0
132	1395	252	250	15	0	0
133	1408	254	253	19	0	0
134	1411	255	253	22	0	0
135	1412	256	257	138	612	3
136	1415	256	258	35	0	0
137	1416	259	260	24	1020	1
138	1418	261	262	52	3400	4
139	1419	256	263	326	0	0
140	1420	259	264	14	0	0
141	1421	265	264	9	0	0
142	1423	267	258	42	0	0
143	1425	264	268	116	0	0
144	1430	258	269	263	0	0
145	1432	265	259	19	0	0
146	1434	266	265	69	0	0
147	1435	270	266	53	0	0
148	1438	271	270	32	1836	3
149	1520	274	275	60	612	3
150	1529	275	276	372	0	0
151	1532	277	276	73	0	0
152	1535	277	278	47	0	0
